id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,gL(R) #post,gL(R) #pre,#voxels
940075056,KCab-p_R,,KCab-p,Traced,726,259,228,86,,1,361940760
940079513,KCab-m_R,,KCab-m,Traced,570,218,171,75,,1,258361359
988852391,PAM08_a(y4)_R,,PAM08_a,Traced,1072,176,1,,757,144,386116617
1004514714,KCg-d_R,,KCg-d,Traced,526,213,1,,365,173,314281799
1015143077,CRE024_L,,CRE024,Traced,4924,969,258,,116,1,1768786393
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,1,,60,6,2083130629
1034198388,KCab-p_R,,KCab-p,Traced,733,260,219,79,5,1,361965654
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,2,,34,8,2226046804
1050249677,PAM07(y4<y1y2)_R,,PAM07,Traced,1208,179,3,,869,149,419404915
1064891781,KCab-p_R,,KCab-p,Traced,741,271,178,79,,1,389121740
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,1,,17278,206,2791162363
1079215685,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,674,256,5,,1,1,460159372
1108545599,KCab-s_R,,KCab-s,Traced,608,251,162,82,4,3,315709589
1131840673,FB4R_R,CREFB4,FB4R,Traced,1345,426,1,,194,4,853725137
1140950118,KCg-m_R,,KCg-m,Traced,761,244,8,1,423,198,335259195
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,695,173,10,1,474678964
1141342260,KCg-m_R,,KCg-m,Traced,769,263,1,,503,220,375823592
1170344185,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,715,259,1,,6,3,452309484
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,4,1,78,12,324421746
1172713521,KCg-s1(super)_R,,KCg-s1,Traced,2551,826,3,7,1669,734,1054848410
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,1,,120,15,311773637
1173016042,KCg-m_R,,KCg-m,Traced,706,241,1,,419,199,346336785
1173745411,KCg-m_R,,KCg-m,Traced,809,252,1,1,495,211,379558460
1175070762,KCg-d_R,,KCg-d,Traced,646,251,5,3,429,188,369691167
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,8,2,371,116,320100027
1203709763,KCa'b'-m_R,,KCa'b'-m,Traced,512,234,2,1,11,3,411264180
1204175835,PAM07(y4<y1y2)_R,,PAM07,Traced,1223,182,1,,999,150,429243268
1204447548,KCg-m_R,,KCg-m,Traced,723,224,1,2,430,184,392214550
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,1,,28,2,294286432
1234386037,MBON07(a1)_R,,MBON07,Traced,15487,512,608,,24,2,1466363330
1235150293,KCg-d_R,,KCg-d,Traced,561,208,1,1,401,169,301136200
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,6,,7,4,446959185
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,67,16,51,18,225739136
1313496027,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,273,3,,9,9,428214535
1326813363,PAM08_a(y4)_R,,PAM08_a,Traced,916,164,2,,549,132,354276543
