id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,BU(L) #post,BU(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,21,21,,1,6917059458
423770604,FB5I_R,SMPCREFB5_3,FB5I,Traced,4793,1230,1,,2,1,2357223448
977339122,FB5L_R,CRESMPFB5_4,FB5L,Traced,2779,749,1,,7,3,1724906752
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1,,73,117,1472264855
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,12,10,5,2,3486100136
