id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,b'L(R) #post,b'L(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,300,198,21,21,6917059458
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,1442,478,6,5,1389645128
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,,17,7,6190229391
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,144,95,12,10,3486100136
