id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,aL(R) #post,aL(R) #pre,#voxels
331662710,PPL106(a3)_R,,PPL106,Traced,9962,1814,2375,468,4477,1042,2855596370
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,27,8,651,177,5265462913
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,131,51,119,30,1964048244
642516892,PPL105(a'2a2)(PDL05)_L,,PPL105,Traced,4363,1434,438,96,2497,816,1095641228
5813019513,PPL105(a'2a2)_R,,PPL105,Traced,7639,1726,565,115,2662,731,2064191600
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,2070,464,3696,923,1814973075
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,3,1,3,1,869209965
