id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,bL(R) #post,bL(R) #pre,#voxels
1297815807,PAM10(B1)_L,,PAM10,Traced,1604,427,535,136,1015,286,472380184
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,502,146,955,290,513933742
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,218,67,765,239,355086914
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,175,48,109,36,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,228,59,107,35,193662875
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,226,61,183,65,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,88,29,48,28,6190229391
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,570,92,828,157,383407340
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,55,30,142,53,431109241
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,1,1,,1,2164861052
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,422,83,257,61,200836501
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,2,4,1,1,502377982
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,70,11,105,32,151824685
5812996052,,,,Traced,609,368,197,63,102,36,688274394
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,8835,81,7725,12,3410455915
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,276,74,329,94,547363626
5813091744,KCab-p_R,,KCab-p,Traced,635,285,44,19,174,77,392247819
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,1283,208,648,118,324522133
