id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,NO #post,NO #pre,#voxels
1137590785,SIFa(PDM34),,SIFa,Traced,658,344,39,30,24,28,4308407118
1155302782,PFNm_a(PB02a)_R8_C3,PFNm_a,PFNm_a,Traced,546,119,43,63,375,54,319944629
1155652503,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,597,134,36,85,309,47,412774414
1156663078,PFNm_b(PB02b)_R8_C3,PFNm_b,PFNm_b,Traced,517,99,83,62,298,37,246283752
1156999846,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,175,52,12,27,93,24,148449235
1157000178,PFNp_e(PB01a)_R8_C3,PFNp_e,PFNp_e,Traced,348,79,32,37,165,35,183649556
1158507458,PFNp_e(PB01a)_L8_C7,PFNp_e,PFNp_e,Traced,287,75,12,33,175,37,179574042
1158507467,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,168,57,25,26,120,30,123595201
1159530101,PFNp_c(PB01c)_L8_C7,PFNp_c,PFNp_c,Traced,347,96,29,58,236,38,197650113
1160833169,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,148,41,31,25,74,16,134082097
1162529693,FB3A_R,,FB3A,Traced,2547,449,1223,354,561,92,1488371650
1162866390,FB3A_L,,FB3A,Traced,1682,474,1192,375,479,97,748100151
1164597572,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,140,50,21,28,99,19,113308724
1187693355,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,162,44,32,28,104,16,142162178
1187831582,PFNa(PB03)_L9_C9,PFNa,PFNa,Traced,682,181,45,113,355,66,384194515
1187844616,PFNd(PB04)_L9_C8,,PFNd,Traced,1212,301,292,191,586,109,502728141
1188043606,PFNp_d(PB01a)_R8_C3,PFNp_d,PFNp_d,Traced,114,29,34,23,65,4,107834774
1188163963,PFNm_a(PB02a)_L9_C9,PFNm_a,PFNm_a,Traced,580,121,72,72,375,48,251157582
1188181261,PFNd(PB04)_L9_C8,,PFNd,Traced,1132,276,260,157,580,117,489974838
1188371481,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,151,53,16,34,83,19,139693719
1188716311,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,152,31,29,19,68,12,127026545
1189549476,PFNm_b(PB02b)_L9_C9,PFNm_b,PFNm_b,Traced,375,88,77,53,191,34,200887917
1189882785,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,135,48,24,32,93,16,111933746
1189887646,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,160,43,31,25,112,17,116529422
1193560072,FB3A_L,,FB3A,Traced,1702,444,1228,366,464,78,733766372
1217385533,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,798,169,65,117,353,52,490492585
1217394039,PFNm_b(PB02b)_R9_C1,PFNm_b,PFNm_b,Traced,536,113,121,82,230,27,253744616
1218728463,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,242,66,38,38,139,27,134505617
1218728541,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,864,195,59,128,476,64,527636691
1218728544,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,189,55,35,36,108,19,130675048
1218728570,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1423,315,10,14,394,93,706646004
1218728588,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,207,56,16,29,116,27,144326219
1218732640,PEN_a(PB06a)_R9,PEN1,PEN_a(PEN1),Traced,1946,563,1,,658,175,1008550189
1218732781,PFNd(PB04)_R9_C1,PFNd,PFNd,Traced,1297,275,244,166,523,105,652471029
1218732931,PFNd(PB04)_R9_C1,PFNd,PFNd,Traced,1361,263,276,169,596,92,598588168
1218733141,PFNp_b(PB01b)_R9_C2,PFNp_b,PFNp_b,Traced,186,51,11,22,136,29,145939775
