id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,gL(R) #post,gL(R) #pre,#voxels
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,161,68,2,1,405985069
612742248,MBON25(y1y2)_L,,MBON25,Traced,1427,232,1,,1010,49,665934503
613083375,CRE032_L,,CRE032,Traced,918,233,52,1,339,17,653637060
630727056,KCg-m_R,,KCg-m,Traced,836,257,4,2,506,204,368085380
630731599,KCg-t_R,,KCg-t,Traced,649,228,25,13,340,165,307105674
630748479,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,601,250,146,85,28,19,456227034
631064055,KCg-m_R,,KCg-m,Traced,922,299,7,3,565,247,404675090
633148716,KCg-m_R,,KCg-m,Traced,869,253,1,,486,214,387890610
639585968,LHCENT11_R,,LHCENT11,Traced,3537,1881,2,,5,2,2934178330
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,164,83,3,2,424988147
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,11,,100,2,2023774583
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,1295,6,7289,42,4367730421
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,2,,37,1,795100404
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,136,66,3,3,388134264
661408056,KCg-m_R,,KCg-m,Traced,708,226,16,5,426,184,259052747
661740651,KCg-m_R,,KCg-m,Traced,794,248,5,2,509,209,359162796
662094168,KCg-m_R,,KCg-m,Traced,875,263,12,4,512,210,369242983
662107551,KCg-m_R,,KCg-m,Traced,747,238,21,8,443,185,322816525
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,147,91,11,4,426186749
662461539,KCg-m_R,,KCg-m,Traced,793,285,34,15,437,200,406055113
662806818,KCg-m_R,,KCg-m,Traced,836,259,30,11,497,198,289957990
663134970,KCg-m_R,,KCg-m,Traced,784,259,9,2,468,196,392525010
663493162,KCg-m_R,,KCg-m,Traced,830,279,15,12,449,216,424202055
664511977,KCg-d_R,,KCg-d,Traced,1251,454,20,10,864,403,629975750
668967527,CRE040_R,CL-Sm(c),CRE040,Traced,14008,1750,1,1,41,1,5225476639
673702721,MBON15(a'1)_R,,MBON15,Traced,1249,231,586,5,,1,483565747
674393414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,238,176,93,8,5,436340617
674738872,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,596,264,149,91,9,8,452846628
692818786,KCg-m_R,,KCg-m,Traced,694,234,2,1,442,180,343570183
692818802,KCg-m_R,,KCg-m,Traced,799,260,29,21,510,202,404012995
704409534,KCab-p_R,,KCab-p,Traced,685,243,2,,3,1,354049999
704466265,MBON12(y2a'1)_R,,MBON12,Traced,9126,1132,2914,18,4912,38,1733289825
706819341,PAM13(B'1ap)_R,,PAM13,Traced,754,215,3,1,1,1,296744630
723508068,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,570,217,62,27,26,18,372966329
723848801,KCg-m_R,,KCg-m,Traced,787,249,1,,492,203,381344048
724142845,KCg-m_R,,KCg-m,Traced,734,247,14,9,427,189,371756429
735134301,PAM08_c(y4)_R,,PAM08_c,Traced,2043,270,2,,964,189,383789277
736117977,KCa'b'-m_R,,KCa'b'-m,Traced,635,252,130,73,3,3,435548368
736140238,CRE080_R,pMP6b candidates,CRE080,Traced,1128,245,9,,85,1,854691700
737149820,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,243,221,113,5,4,442032641
737149964,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,712,263,154,72,5,6,505631206
737150041,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,139,80,3,2,430026335
737491062,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,628,267,155,92,12,5,433911426
754525744,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,244,190,97,10,7,440292610
755229523,KCg-m_R,,KCg-m,Traced,761,236,2,1,475,189,324795082
755544921,KCg-m_R,,KCg-m,Traced,664,228,2,,415,186,350850010
755851102,KCg-m_R,,KCg-m,Traced,648,254,11,6,457,198,231680764
756601858,KCg-d_R,,KCg-d,Traced,500,196,28,11,287,147,316208133
767852204,KCa'b'-m_R,,KCa'b'-m,Traced,688,240,185,88,12,6,419723448
767904550,CRE021_R,aSP14e candidates,CRE021,Traced,3506,794,2,,25,4,2045947305
768184604,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,657,249,179,97,2,2,453806345
768184623,KCa'b'-m_R,,KCa'b'-m,Traced,624,240,173,86,,1,396386656
768525593,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,262,156,96,,1,414304618
768525608,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,277,157,87,11,8,459423549
768525647,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,709,261,201,106,5,3,429009272
792368888,MBON20(y1y2)_R,,MBON20,Traced,6136,1988,7,,2624,39,5261473419
798908816,CRE055_R,,CRE055,Traced,406,173,2,1,1,2,338210758
799249679,CRE092_R,pMP6a candidates,CRE092,Traced,773,283,10,,2,2,735601613
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,50,36,26087,778,4762453854
799901370,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,629,268,137,80,29,15,442840883
799906141,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,618,245,172,79,1,1,406524522
800286386,CRE080_R,pMP6b candidates,CRE080,Traced,1068,217,1,,190,2,888608503
816276925,KCg-m_R,,KCg-m,Traced,818,259,5,2,538,222,342972796
816613438,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,558,231,111,58,24,10,375502650
817294806,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,543,237,126,79,16,7,440837776
830586919,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,647,249,185,111,8,4,452127041
831273286,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,588,247,63,41,17,13,425970435
861634934,KCa'b'-m_R,,KCa'b'-m,Traced,655,258,162,88,7,3,433333685
861665641,MBON12(y2a'1)_R,,MBON12,Traced,8766,1156,3287,23,4121,37,1813984393
862312670,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,543,257,142,88,4,1,387383456
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,160,79,3,4,347955774
880383629,KCg-m_R,,KCg-m,Traced,793,241,1,1,453,192,345275323
893347461,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,261,167,104,8,5,446443832
893688605,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,599,278,125,79,24,9,474136121
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,4979,43,141,4,2722993954
924723528,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,635,272,149,83,8,5,458805864
939733918,KCa'b'-m_R,,KCa'b'-m,Traced,632,240,171,80,,1,426089124
940075056,KCab-p_R,,KCab-p,Traced,726,259,11,1,,1,361940760
940420292,KCa'b'-m_R,,KCa'b'-m,Traced,618,245,167,88,9,3,428622683
974843892,KCg-d_R,,KCg-d,Traced,506,180,36,8,269,127,242807372
986793149,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,723,243,150,84,2,4,434247761
988852391,PAM08_a(y4)_R,,PAM08_a,Traced,1072,176,2,,757,144,386116617
