id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,gL(R) #post,gL(R) #pre,#voxels
5813021812,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,594,252,153,83,20,9,464717750
5813021822,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,265,165,91,17,14,482821942
5813021856,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,668,254,150,82,9,8,485815034
5813021865,KCg-m_R,,KCg-m,Traced,911,250,17,9,562,199,390695586
5813022037,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,655,236,134,64,17,7,431474709
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,52,1,10282,170,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,2837,682,5741,2062,5444071374
5813032811,KCa'b'-m_R,,KCa'b'-m,Traced,616,210,148,82,5,3,388570181
5813032874,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,223,156,87,6,3,455255692
5813032876,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,232,173,91,8,5,519684879
5813032887,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,598,197,139,60,26,14,419825635
5813032896,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,689,216,156,70,12,8,404784077
5813032900,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,249,201,95,10,6,435011106
5813032943,KCab-p_R,,KCab-p,Traced,734,252,8,2,3,6,339903729
5813033208,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,704,219,152,84,13,7,435229410
5813035267,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,644,259,171,85,7,8,511057661
5813035612,KCg-m_R,,KCg-m,Traced,859,273,22,11,540,224,395394691
5813035613,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,252,106,75,25,15,463866310
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,134,59,6,4,427955175
5813047790,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,580,209,126,73,10,5,431318660
5813049834,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,516,228,123,66,19,6,420504766
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,175,92,11,4,452964728
5813055949,SMP175_R,,SMP175,Traced,5020,938,6,1,18,4,2584249964
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,182,85,1,1,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,202,108,10,7,436927867
5813056309,KCg-m_R,,KCg-m,Traced,825,283,6,4,523,218,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,140,71,9,1,403944266
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,193,91,17,6,405376444
5813057867,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,587,246,105,67,5,3,399817341
5813057942,KCa'b'-m_R,,KCa'b'-m,Traced,759,278,172,80,7,3,450117799
5813058215,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,642,248,176,92,6,6,430406202
5813059951,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,579,240,169,99,13,7,422392882
5813060643,KCab-p_R,,KCab-p,Traced,681,264,1,1,2,2,369871738
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,9,10,84,55,3486100136
5813061597,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,640,250,162,85,8,8,475789178
5813062565,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,257,146,76,8,5,425676562
5813062631,KCg-m_R,,KCg-m,Traced,758,263,3,3,450,220,374158925
5813062637,KCg-m_R,,KCg-m,Traced,796,258,4,3,460,217,378340500
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,1,,55,1,3621432113
5813063224,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,611,232,190,78,14,5,445344768
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,178,90,12,8,436486264
5813064427,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,652,297,135,76,20,13,430438345
5813068692,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,682,233,217,103,1,1,431484345
5813068984,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,583,252,149,88,25,18,437165853
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,129,73,10,5,364741205
5813069792,KCg-m_R,,KCg-m,Traced,647,183,2,1,390,154,328684224
5813070672,KCg-m_R,,KCg-m,Traced,719,237,12,5,456,194,398858277
5813077579,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,235,214,90,,1,446715176
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,165,82,11,8,453604666
5813078179,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,628,267,193,107,8,13,438465584
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,133,89,8,7,472655195
5813078679,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,697,252,153,81,30,15,446899629
5813083651,KCg-d_R,,KCg-d,Traced,547,216,39,21,342,142,353327717
5813083779,CRE022_R,,CRE022,Traced,8464,1155,31,,370,3,2658194530
5813084505,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,463,222,127,76,1,1,360084803
5813084692,KCg-m_R,,KCg-m,Traced,825,283,39,12,444,207,387026360
5813090997,KCg-d_R,,KCg-d,Traced,522,198,3,2,371,155,306605759
5813091021,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,574,258,120,79,20,15,416182724
5813096260,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,561,238,136,83,11,6,434717676
5813105172,DPM_R,,DPM,Traced,77269,17628,9585,2307,24376,5774,15191654896
5813109941,PAM07(y4<y1y2)_R,,PAM07,Traced,1075,183,4,,768,139,357750093
5813110459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,606,264,153,81,27,22,432471519
5813111042,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,501,225,134,81,5,6,388725384
5813112511,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,592,268,110,64,5,7,434542432
5813134052,SMP116_L,,SMP116,Traced,4496,712,3,1,39,4,2112469689
5901213440,CRE011_R,,CRE011,Traced,19674,2149,69,6,193,8,5844952800
