id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,BU(R) #post,BU(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,6,8,2,9,6917059458
417221397,SMP238_R,,SMP238,Traced,1837,1162,1,,7,27,2118638793
484130600,SMP145_R,,SMP145,Traced,3609,2264,1,,,1,2489431605
1136861363,ER2_c(ring)_R,,ER2_c,Traced,1524,457,3,,98,3,1057527061
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,1,,138,5,1055943440
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,2,,95,198,1472264855
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,1,,127,9,1174302319
1261768859,ER3d_b(ring)_R,,ER3d_b,Traced,1110,314,1,,121,6,624560735
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,48,28,3,10,6190229391
