id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,2,9,14,13,6917059458
601725569,KCg-d_R,,KCg-d,Traced,562,227,1,,51,24,333188141
768884949,CRE057_R,,CRE057,Traced,907,211,1,,7,8,340459302
1142019878,KCg-s4_R,,KCg-s4,Traced,749,298,1,,36,9,426294048
1171621682,KCg-d_R,,KCg-d,Traced,642,233,1,,39,15,370508699
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,10,,1,6190229391
