id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,FB #post,FB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,3576,2111,6917059458
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,95,25,39,38,5702733325
978336888,AOTU046_R,,AOTU046,Traced,1958,713,1,,115,27,1774175847
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,83,23,131,64,6190229391
5813047763,FB5AB_R,SIPCREFB5d,FB5AB,Traced,6973,1035,5,,2118,987,2699423831
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,4,,3717,2821,3621432113
