id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,PB #post,PB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,14,13,3,3,6917059458
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,2,1,39,18,5702733325
