id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,BU(R) #post,BU(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3,3,2,9,6917059458
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,3,,148,474,5331729469
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,186,6,8,9,592330392
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,1,3,10,6190229391
