id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,#voxels
487006645,,,,Traced,24,10,17,7,6208980
487334232,,,,Traced,44,27,36,21,28125352
487334439,,,,Traced,95,12,75,11,15733999
487334519,,,,Traced,99,46,88,40,38143710
487342120,,,,Traced,35,23,35,23,11485669
487342257,,,,Traced,28,15,28,15,9146710
487342416,,,,Traced,24,10,24,9,8276084
487342424,,,,Traced,41,19,41,19,11579296
487342453,,,,Traced,12,9,12,9,7902289
487342501,,,,Traced,77,35,72,32,26566442
487346341,,,,Traced,112,51,105,48,37068907
487346549,,,,Traced,30,13,29,12,9170183
487346706,,,,Traced,14,7,14,7,5807226
487346753,,,,Traced,4,3,4,3,3074560
487674743,,,,Traced,40,19,31,14,25399972
487687345,,,,Traced,2,4,2,4,2957493
487687554,,,,Traced,17,12,17,12,7790867
487687560,,,,Traced,29,15,29,15,9321700
487687741,,,,Traced,11,2,11,2,3434502
487687826,,,,Traced,12,7,12,7,6324193
488710636,,,,Traced,42,14,1,2,9692976
489043331,,,,Traced,12,6,2,1,8601368
489051750,,,,Traced,58,25,24,6,21140412
489051772,,,,Traced,52,32,18,9,25148698
489051866,,,,Traced,71,40,18,11,32974410
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,82,36,1948744287
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,3,2,1964048244
518035972,,,,Traced,17,16,17,15,12750698
518035986,,,,Traced,116,52,110,49,34409566
518036294,,,,Traced,15,7,15,7,8815114
518036432,,,,Traced,23,11,22,11,11631923
518036454,,,,Traced,23,10,23,9,10576876
518036885,,,,Traced,53,27,53,27,16632924
518037071,,,,Traced,22,6,21,6,6143243
518037253,,,,Traced,87,41,80,37,32700885
518040666,,,,Traced,20,2,17,2,3723084
518040781,,,,Traced,24,11,24,11,9415449
518040923,,,,Traced,4,2,4,2,2828758
518041123,,,,Traced,141,2,114,2,16850342
518372762,,,,Traced,62,45,59,38,29851988
518372893,,,,Traced,78,31,59,23,30823571
518376924,,,,Traced,16,11,16,11,6827608
518376934,,,,Traced,43,18,43,18,12495837
518377056,,,,Traced,13,7,13,7,6939445
518377304,,,,Traced,16,8,16,8,3964954
518377314,,,,Traced,79,45,66,41,36149502
518377318,,,,Traced,35,13,35,13,11915994
518377335,,,,Traced,20,9,20,9,7360153
518381175,,,,Traced,17,11,17,11,6109332
518381273,,,,Traced,6,2,6,2,1564282
518381310,,,,Traced,4,2,4,2,1388713
518381399,,,,Traced,76,43,70,39,33100048
518381401,,,,Traced,92,37,84,36,29460905
518381474,,,,Traced,6,5,6,5,1864205
518381569,,,,Traced,67,41,61,35,34482868
518718150,,,,Traced,57,26,55,24,25899408
518718352,,,,Traced,75,26,65,24,37084305
518722309,,,,Traced,34,15,31,14,8462296
518722352,,,,Traced,4,4,4,4,4573624
518722396,,,,Traced,5,3,5,3,2025221
518722549,,,,Traced,44,18,44,18,13929423
519063474,,,,Traced,4,3,2,1,5376411
519745542,,,,Traced,40,23,14,7,17163439
519745630,,,,Traced,38,27,11,11,22739680
520082378,,,,Traced,58,28,3,1,18392967
520086403,,,,Traced,124,17,58,11,16079050
545293653,,,,Traced,227,294,1,4,191185898
549071406,,,,Traced,17,7,16,6,5716148
549071475,,,,Traced,83,39,76,33,40001247
549071893,,,,Traced,50,23,46,20,20342722
549071947,,,,Traced,13,4,13,4,1640937
549075382,,,,Traced,4,4,4,4,3028223
549075528,,,,Traced,14,6,14,6,5418152
549075610,,,,Traced,21,7,20,7,6233579
549407664,,,,Traced,65,45,59,42,29922554
549411887,,,,Traced,29,11,29,11,9774319
549412112,,,,Orphan,16,7,16,7,1807726
549412274,,,,Traced,8,4,8,4,1666043
549416184,,,,Traced,16,8,15,8,6666540
549416269,,,,Traced,12,2,12,2,1170017
549416456,,,,Traced,87,47,82,43,40462014
549416460,,,,Traced,4,3,4,3,2562533
549416504,,,,Traced,17,2,17,2,167999
549416536,,,,Traced,79,32,73,28,28440633
549748710,,,,Traced,74,38,62,32,31955064
549757130,,,,Traced,27,14,27,14,12411927
549757535,,,,Orphan,6,2,6,2,485424
549757545,,,,Traced,105,15,96,12,19576855
549757567,,,,Traced,8,2,8,2,2111828
549757576,,,,Traced,23,2,20,2,2968621
549757585,,,,Traced,18,13,17,13,5996614
550098698,,,,Traced,93,50,82,43,37141134
550439233,,,,Traced,7,3,3,1,6212270
550439476,,,,Traced,39,30,23,18,31686318
