id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,gL(L) #post,gL(L) #pre,#voxels
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,21,86,8437,41,2278694286
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,16,,4,3,389938087
988852391,PAM08_a(y4)_R,,PAM08_a,Traced,1072,176,59,,95,30,386116617
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,9,11,19,20,4703423471
1013066710,CRE071_R,,CRE071,Traced,1410,623,524,9,3,1,1233966102
1016166622,CRE067_R,,CRE067,Traced,1039,396,147,3,43,15,735317516
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,57,16,16,2,552011293
1047887562,CRE068_R,,CRE068,Traced,594,325,238,15,31,11,562548941
1048250312,LAL155_R,,LAL155,Traced,2385,591,1485,104,2,1,1317529596
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,1,1,47,1,2791162363
1110640084,CRE067_R,,CRE067,Traced,1342,370,311,5,25,11,763267727
1141337557,PAM08_d(y4)_R,,PAM08_d,Traced,1707,334,2,,89,19,427493806
1141337605,PAM08_e(y4)_R,,PAM08_e,Traced,1013,193,27,,85,36,410437147
1141342258,PAM08_a(y4)_R,,PAM08_a,Traced,1115,191,6,,179,41,391835218
1141678665,PAM12(y3)_R,,PAM12,Traced,1020,164,41,,151,37,394036608
1141687128,PAM07(y4<y1y2)_R,,PAM07,Traced,1417,168,45,2,67,24,394678553
1142365351,PAM08_a(y4)_R,,PAM08_a,Traced,1006,164,24,,184,47,393275875
1143167974,SMP370(PDM08)_L,,SMP370,Traced,301,467,99,129,3,1,606324377
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,62,1,132,38,396639821
1173745330,PAM08_a(y4)_R,,PAM08_a,Traced,990,169,41,,137,34,329507895
1173753977,PAM08_e(y4)_R,,PAM08_e,Traced,833,166,4,,94,37,352319115
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,22,4,13,1,547627159
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,27,3,10,1,366409907
1205090786,PAM12(y3)_R,,PAM12,Traced,771,115,54,,252,69,303136226
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,66,,221,52,308877449
1326813363,PAM08_a(y4)_R,,PAM08_a,Traced,916,164,6,,114,25,354276543
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,6,11,10,19,5492683352
1386512867,MBON05(y4>y1y2)_R,,MBON05,Traced,20098,1073,20,4,19394,483,3823216871
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,19,7,6190229391
1605518663,AOTU019(ADM10)_L,AoSiLVe-LVeSpIp(c),AOTU019,Traced,3228,2111,160,771,16,7,6781032290
5812980743,SMP151(ADM10)_L,,SMP151,Traced,331,572,19,24,9,2,654233320
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,86,42,38,2,3349981626
