id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,aL(R) #post,aL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,2,9,18,17,6917059458
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,3,3,67,11,5117109108
601725569,KCg-d_R,,KCg-d,Traced,562,227,1,,5,2,333188141
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,245,221,,6,1622607507
1142019878,KCg-s4_R,,KCg-s4,Traced,749,298,1,,,1,426294048
1171621682,KCg-d_R,,KCg-d,Traced,642,233,1,,7,2,370508699
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,1,3,40,9,3658564958
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,10,83,23,6190229391
