id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,BU(R) #post,BU(R) #pre,#voxels
1291366237,ER3p_b(ring)_R,,ER3p_b,Traced,1070,326,892,313,146,5,661036009
1291435776,ER3p_a(ring)_R,,ER3p_a,Traced,824,289,724,280,91,3,694712883
1291780675,ER3m(ring)_R,,ER3m,Traced,968,295,869,287,65,4,616393513
1292121433,ER3d_d(ring)_R,,ER3d_d,Traced,1138,310,993,300,119,4,638846821
1292466818,ER3d_d(ring)_R,,ER3d_d,Traced,1084,311,951,303,102,4,601214765
1292794996,ER3m(ring)_R,,ER3m,Traced,959,277,886,268,58,2,589899242
1292803650,ER3m(ring)_R,,ER3m,Traced,1017,336,909,309,78,9,660582381
1292807819,ER3m(ring)_R,,ER3m,Traced,1018,282,936,266,64,1,601265310
1292816565,ER3m(ring)_R,,ER3m,Traced,1029,333,901,311,107,8,680157635
1292847181,ER4m(ring)_R,,ER4m,Traced,1702,921,1558,916,143,5,1630290346
1293136062,ER3a_a(ring)_R,,ER3a_a,Traced,706,206,583,194,103,7,462829419
1322474586,ER3p_a(ring)_R,,ER3p_a,Traced,873,293,787,283,69,5,639550959
1322811240,ER3p_a(ring)_R,,ER3p_a,Traced,925,314,816,303,90,6,697431632
1323156554,ER3p_b(ring)_R,,ER3p_b,Traced,1065,335,903,323,133,5,611348841
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,1876,536,110,5,1148479791
1324430237,ER6(ring)_R,,ER6,Traced,2216,550,487,314,36,24,1016271341
1354951374,,,,Traced,68,78,38,23,,1,211741494
1355810793,ER3a_a(ring)_R,,ER3a_a,Traced,649,194,538,185,73,4,461317053
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,57,34,3,10,6190229391
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,1505,598,131,201,1184449527
1513674176,ER4d(ring)_R,,ER4d,Traced,1993,588,1847,565,122,15,1182276480
5812979222,ER4d(ring)_R,,ER4d,Traced,2007,573,1846,559,119,7,1089870136
5812979230,ER3w_b(ring)_R,,ER3w_b,Traced,893,285,831,275,51,6,672398766
5812983734,ER6(ring)_R,,ER6,Traced,2158,537,447,320,26,16,901469199
5812984024,ER3a_a(ring)_R,,ER3a_a,Traced,783,222,635,210,91,4,469401707
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,2589,399,3,5,1478126146
5813020409,ER2_c(ring)_R,,ER2_c,Traced,1517,475,1388,472,122,3,919409180
5813020453,ER5(ring)_R,,ER5,Traced,1006,549,917,543,86,6,1210868532
5813020455,ER3w_b(ring)_R,,ER3w_b,Traced,978,297,923,291,28,2,632754362
5813020568,ER3p_a(ring)_R,,ER3p_a,Traced,875,339,732,305,120,29,643107472
5813020585,ER3p_a(ring)_R,,ER3p_a,Traced,919,300,831,296,70,1,758859295
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,9,5,3,1,1501021625
5813047647,ER2_c(ring)_R,,ER2_c,Traced,1683,504,1559,503,112,1,964961055
5813048896,ER2_c(ring)_R,,ER2_c,Traced,1420,471,1305,469,110,2,1013861975
5813050767,ER4m(ring)_R,,ER4m,Traced,1786,916,1630,908,139,5,1556793027
5813053983,ER3w_b(ring)_R,,ER3w_b,Traced,847,304,778,302,67,1,711144862
5813053988,ER3w_a(ring)_R,,ER3w_a,Traced,1230,346,1146,342,75,4,758610895
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,108,56,,1,1798572771
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,1331,348,32,53,1931391198
5813077556,ER2_b(ring)_R,,ER2_b,Traced,1131,324,1027,322,96,1,743357121
