id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,bL(L) #post,bL(L) #pre,#voxels
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,1,2,248,35,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,1,,5333,1048,6483095365
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,3,2,239,48,1964048244
550081497,MBON24(B2y5)(PDL05)_L,,MBON24,Traced,5962,67,7,,4739,13,758606595
1015622418,,,,Traced,809,407,3,,,2,235779801
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,16,12,11148,221,2038784377
