id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,EB #post,EB #pre,#voxels
1261086734,ER3d_a(ring)_R,,ER3d_a,Traced,1344,357,127,2,1195,344,721497443
1261086756,ER3d_a(ring)_R,,ER3d_a,Traced,1281,358,104,3,1154,341,682688537
1261419142,ER3d_c(ring)_R,,ER3d_c,Traced,1195,320,103,4,1062,307,682692254
1261423370,ER3d_a(ring)_R,,ER3d_a,Traced,1237,341,81,1,1146,335,723126157
1261423444,ER3d_c(ring)_R,,ER3d_c,Traced,1241,366,110,1,1107,352,713799155
1261423454,ER3d_c(ring)_R,,ER3d_c,Traced,1310,343,140,4,1148,336,727214630
1261423507,ER3d_c(ring)_R,,ER3d_c,Traced,1160,318,128,5,1009,308,635382116
1261423534,ER3d_d(ring)_R,,ER3d_d,Traced,1187,317,100,4,1062,308,648201843
1261427765,ER3d_c(ring)_R,,ER3d_c,Traced,1252,324,118,1,1116,315,741793195
1261427885,ER3d_b(ring)_R,,ER3d_b,Traced,1010,278,94,4,885,268,596231811
1261432158,ER3d_b(ring)_R,,ER3d_b,Traced,997,301,100,5,878,283,572586665
1261432168,ER3d_d(ring)_R,,ER3d_d,Traced,1088,328,120,11,945,307,591625826
1261436305,ER3d_c(ring)_R,,ER3d_c,Traced,1314,371,105,3,1191,357,734713327
1261436508,ER3d_a(ring)_R,,ER3d_a,Traced,1308,366,94,4,1179,349,680933989
1261756007,ER3d_a(ring)_R,,ER3d_a,Traced,1246,355,128,5,1100,337,699809561
1261760187,ER3d_c(ring)_R,,ER3d_c,Traced,1163,321,144,5,989,310,690086716
1261760414,ER3a_d(ring)_R,,ER3a_d,Traced,764,246,48,9,644,225,472529807
1261768859,ER3d_b(ring)_R,,ER3d_b,Traced,1110,314,121,6,962,299,624560735
1261768880,ER3d_b(ring)_R,,ER3d_b,Traced,1151,314,137,2,978,310,568507214
1261768913,ER3m(ring)_R,,ER3m,Traced,1078,362,54,5,1007,345,633547676
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,78,4,641,239,462734560
1261773304,ER3d_d(ring)_R,,ER3d_d,Traced,1134,300,98,2,1003,296,657613914
1261773414,ER3d_b(ring)_R,,ER3d_b,Traced,1051,319,112,5,911,305,609683025
1262101350,ER3a_d(ring)_R,,ER3a_d,Traced,798,258,34,2,675,248,494934893
1262105575,ER3a_a(ring)_R,,ER3a_a,Traced,762,195,77,3,650,190,457061603
1262105630,ER3m(ring)_R,,ER3m,Traced,949,246,54,1,873,234,590452474
1262105637,ER3m(ring)_R,,ER3m,Traced,923,255,56,4,838,242,614666631
1262114112,ER3a_a(ring)_R,,ER3a_a,Traced,844,220,52,2,783,213,477846056
1262114188,ER3m(ring)_R,,ER3m,Traced,1174,293,105,5,1042,278,671179407
1262114202,ER3m(ring)_R,,ER3m,Traced,967,228,98,,850,220,543244374
1291099014,ER1_b(ring)_R,,ER1_b,Traced,796,211,1,,544,200,484445372
1291366237,ER3p_b(ring)_R,,ER3p_b,Traced,1070,326,146,5,892,313,661036009
1291435551,ER1_a(ring)_R,,ER1_a,Traced,633,214,1,,402,209,443295583
1291435693,ER1_b(ring)_R,,ER1_b,Traced,821,242,1,,587,232,512500871
1291435776,ER3p_a(ring)_R,,ER3p_a,Traced,824,289,91,3,724,280,694712883
1291780675,ER3m(ring)_R,,ER3m,Traced,968,295,65,4,869,287,616393513
1292121433,ER3d_d(ring)_R,,ER3d_d,Traced,1138,310,119,4,993,300,638846821
1292466818,ER3d_d(ring)_R,,ER3d_d,Traced,1084,311,102,4,951,303,601214765
1292794996,ER3m(ring)_R,,ER3m,Traced,959,277,58,2,886,268,589899242
1292803650,ER3m(ring)_R,,ER3m,Traced,1017,336,78,9,909,309,660582381
1292807819,ER3m(ring)_R,,ER3m,Traced,1018,282,64,1,936,266,601265310
1292816565,ER3m(ring)_R,,ER3m,Traced,1029,333,107,8,901,311,680157635
1292847181,ER4m(ring)_R,,ER4m,Traced,1702,921,143,5,1558,916,1630290346
1293136062,ER3a_a(ring)_R,,ER3a_a,Traced,706,206,103,7,583,194,462829419
1294414279,ER1_a(ring)_R,,ER1_a,Traced,758,214,1,,487,212,494773963
1322133858,ER1_a(ring)_R,,ER1_a,Traced,567,200,1,,330,195,392635236
1322474586,ER3p_a(ring)_R,,ER3p_a,Traced,873,293,69,5,787,283,639550959
1322811240,ER3p_a(ring)_R,,ER3p_a,Traced,925,314,90,6,816,303,697431632
1323156554,ER3p_b(ring)_R,,ER3p_b,Traced,1065,335,133,5,903,323,611348841
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,110,5,1876,536,1148479791
1324430237,ER6(ring)_R,,ER6,Traced,2216,550,36,24,487,314,1016271341
1355810793,ER3a_a(ring)_R,,ER3a_a,Traced,649,194,73,4,538,185,461317053
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,10,57,34,6190229391
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,131,201,1505,598,1184449527
1513674176,ER4d(ring)_R,,ER4d,Traced,1993,588,122,15,1847,565,1182276480
5812979222,ER4d(ring)_R,,ER4d,Traced,2007,573,119,7,1846,559,1089870136
5812979230,ER3w_b(ring)_R,,ER3w_b,Traced,893,285,51,6,831,275,672398766
5812979604,ER5(ring)_R,,ER5,Traced,1065,603,88,,958,600,1229144757
5812983734,ER6(ring)_R,,ER6,Traced,2158,537,26,16,447,320,901469199
5812984024,ER3a_a(ring)_R,,ER3a_a,Traced,783,222,91,4,635,210,469401707
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,3,5,2589,399,1478126146
5813020409,ER2_c(ring)_R,,ER2_c,Traced,1517,475,122,3,1388,472,919409180
5813020453,ER5(ring)_R,,ER5,Traced,1006,549,86,6,917,543,1210868532
5813020455,ER3w_b(ring)_R,,ER3w_b,Traced,978,297,28,2,923,291,632754362
5813020568,ER3p_a(ring)_R,,ER3p_a,Traced,875,339,120,29,732,305,643107472
5813020585,ER3p_a(ring)_R,,ER3p_a,Traced,919,300,70,1,831,296,758859295
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,3,1,9,5,1501021625
5813047647,ER2_c(ring)_R,,ER2_c,Traced,1683,504,112,1,1559,503,964961055
5813048896,ER2_c(ring)_R,,ER2_c,Traced,1420,471,110,2,1305,469,1013861975
5813050767,ER4m(ring)_R,,ER4m,Traced,1786,916,139,5,1630,908,1556793027
5813053866,ER4m(ring)_R,,ER4m,Traced,1856,997,125,,1685,997,1738139052
5813053983,ER3w_b(ring)_R,,ER3w_b,Traced,847,304,67,1,778,302,711144862
5813053988,ER3w_a(ring)_R,,ER3w_a,Traced,1230,346,75,4,1146,342,758610895
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,32,53,1331,348,1931391198
5813077556,ER2_b(ring)_R,,ER2_b,Traced,1131,324,96,1,1027,322,743357121
