id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,#voxels
611810783,,,,Traced,186,231,10,5,219227916
612095452,,,,Traced,329,641,14,14,603144270
612422902,MBON25(y1y2)_R,,MBON25,Traced,395,181,6,9,491944011
612643681,CRE094(PDM13)_L,,CRE094,Traced,538,176,32,9,576363271
612742229,CRE028_L,,CRE028,Traced,1052,237,24,19,848505865
612742298,CRE036_L,,CRE036,Traced,592,134,13,9,567524859
612742316,CRE036_L,,CRE036,Traced,536,144,2,4,593417196
612755343,CRE023_L,,CRE023,Traced,2297,801,108,53,2214780944
613083298,CRE030_a_L,,CRE030_a,Traced,1067,220,2,5,748302593
613126471,CRE044(ADM10)_L,,CRE044,Traced,842,139,167,72,457318739
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,41,162,1102000302
639655157,SMP008_R,aSP14a candidates,SMP008,Traced,673,350,44,93,692009440
640104852,CRE078(PDM09)_L,,CRE078,Traced,973,465,9,15,823460805
640630581,CRE058_R,,CRE058,Traced,350,160,1,2,394843136
641157199,,,,Traced,141,128,6,5,234093042
641688553,CRE042_R,,CRE042,Traced,6850,1277,140,103,2405591250
642504699,LHPV5e3(PDL05)_L,,LHPV5e3,Traced,2296,1632,77,117,1740055280
642509080,SMP007_R,aSP14d candidates,SMP007,Traced,839,395,43,70,800973603
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,251,343,4367730421
643350227,CRE093(PDM13)_L,pMP6a candidates; SmCL-Si(b),CRE093,Traced,689,181,135,9,541550317
643488175,CRE045(ADM10)_L,,CRE045,Traced,756,157,12,18,380798038
643830129,CRE046(ADM10)_L,Sm-C,CRE046,Traced,791,190,21,17,473774363
643847447,MBON32(y2)(ADM08)_L,,MBON32,Traced,9197,1062,141,5,3202870430
643859327,CRE078(PDM09)_L,,CRE078,Traced,1295,605,35,38,984445812
644113913,SMP139_L,,SMP139,Traced,919,199,47,35,587047514
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,22,49,795100404
644148539,CRE039_R,,CRE039,Traced,606,179,98,12,448215943
644148647,CRE031_R,,CRE031,Traced,756,196,44,13,583473753
644148661,CRE036_R,,CRE036,Traced,338,130,5,4,458497013
644148705,CRE036_R,,CRE036,Traced,290,135,4,13,468734043
644153089,CRE039_R,,CRE039,Traced,573,140,45,12,418721819
644161860,CRE045(ADM10)_L,,CRE045,Traced,672,141,6,8,357438901
644226063,,,,Traced,190,274,51,74,207557491
644450565,CRE005_R,,CRE005,Traced,1857,858,28,49,1442612455
644788121,LAL007_R,,LAL007,Traced,1344,765,15,78,1701061495
644874664,,,,Traced,406,439,5,7,512562388
645897107,CRE044(ADM10)_L,,CRE044,Traced,593,75,173,55,361381092
665820084,CL327_R,,CL327,Traced,1910,373,170,301,1407337214
668285416,SMP151(ADM10)_L,,SMP151,Traced,320,550,12,11,642080855
669965108,CRE076_R,,CRE076,Traced,2873,1348,22,11,2190715571
670435003,SMP492(PDM17)_L,,SMP492,Traced,1819,651,18,11,1466951938
670810688,SMP057(ADM01)_L,,SMP057,Traced,1480,309,128,2,959012397
672192070,CRE077(PDM09)_L,,CRE077,Traced,2316,645,18,27,1277530911
672524871,CRE088(PDM13)_L,,CRE088,Traced,479,329,13,1,810300779
672840346,(PDM08)_L,,,Traced,1627,804,58,3,1371627061
672865791,,,,Traced,304,88,21,7,86696419
673413730,SMP008_R,aSP14a candidates,SMP008,Traced,465,317,22,66,536357902
673863199,CRE041(ADM10)_L,CL-L(c)2,CRE041,Traced,4230,882,1475,89,1990756814
674195939,(ADM10)_L,,,Traced,1211,350,9,1,626081409
674532291,SMP051(ADM01)_L,,SMP051,Traced,3045,535,11,6,1805999173
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,1906,73,2764738281
675127915,SMP006_R,aSP14a candidates,SMP006,Traced,835,446,55,152,728467929
675136878,CRE070_R,,CRE070,Traced,2002,703,11,7,1301294761
675144948,CRE031_L,,CRE031,Traced,654,198,24,27,598509417
675187509,CRE033_R,,CRE033,Traced,698,177,9,1,611705625
675187558,CRE029_b_R,,CRE029_b,Traced,582,209,49,1,536540267
675187578,CRE036_R,,CRE036,Traced,483,120,10,1,489036298
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,13,25,739581338
675528661,CRE024_R,,CRE024,Traced,4337,984,228,6,2090195593
675805841,LAL095_R,,LAL095,Traced,374,44,65,40,229963769
675809900,SMP006_R,aSP14a candidates,SMP006,Traced,673,385,59,103,713613723
697416237,ATL036(PDM32)_L,,ATL036,Traced,534,485,103,33,818034550
697420320,,,,Traced,653,274,50,14,611416998
699312063,ATL013_R,,ATL013,Traced,234,177,1,4,431857453
700486220,LAL022(ADM05)_L,C-LSm,LAL022,Traced,1011,63,98,12,176413064
700658962,,,,Traced,1161,614,47,4,822435440
701371011,SMP370_R,,SMP370,Traced,1736,699,73,127,2101402424
702199343,CRE089(PDM13)_L,pMP6a candidates,CRE089,Traced,414,343,10,3,632326847
702200873,ATL012(PDL05)_L,,ATL012,Traced,722,573,12,3,686199919
702704906,CRE058_R,,CRE058,Traced,463,147,4,2,394131167
702708540,CRE089_R,pMP6a candidates,CRE089,Traced,701,380,1,8,867262079
703351975,mAL3B_L,,mAL3B,Traced,237,93,2,1,279216339
704216351,,,,Traced,97,12,3,1,65026520
704785058,SMP008_R,aSP14a candidates,SMP008,Traced,476,316,29,73,546805348
704816317,,,,Traced,925,1100,2,11,1390622287
704919972,,,,Traced,181,5,11,2,84278162
705234668,,,,Traced,1516,1521,131,137,1346708798
706862579,CRE059_R,,CRE059,Traced,1466,552,45,29,1186755402
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,105,132,1535739624
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,1,1,311089027
724012895,,,,Traced,287,14,27,2,1486131366
727713068,IB024(PDM13)_L,,IB024,Traced,1530,386,372,16,801779616
729007932,CL328_R,,CL328,Traced,308,128,66,122,582564551
729007988,CL006_R,,CL006,Traced,354,171,54,100,474418867
729997357,SIP001_R,aSP14c candidates,SIP001,Traced,361,136,11,8,427515984
730013818,ATL007(ADM10)_L,CL-AtIb(c)1,ATL007,Traced,1013,340,467,26,877968363
730493835,,,,Traced,179,21,32,4,85530889
730497472,LAL022(ADM05)_L,C-LSm,LAL022,Traced,1092,126,273,63,311898791
730687491,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,401,181,17,16,446549801
730830911,SIP081(PDM13)_L,,SIP081,Traced,459,153,32,11,452493523
730839051,,,,Traced,298,138,49,105,264933452
731357364,SIP002_R,aSP14c candidates,SIP002,Traced,407,147,18,10,411254917
731524779,,,,Traced,164,395,2,3,397607404
731688775,SIP001_R,aSP14c candidates,SIP001,Traced,413,156,9,14,446745326
732038716,(ADL08)_L,,,Traced,295,305,22,13,258018867
732038980,,,,Traced,56,128,4,6,128253142
732082028,CL006_R,,CL006,Traced,300,196,80,111,429627083
732159588,SMP064(ADM01)_L,,SMP064,Traced,1773,274,3,1,949392985
732885054,,,,Traced,2241,1050,419,223,1571345277
733203990,FB5Q_L,SMPCREFB5d,FB5Q,Traced,1245,469,1,1,597800683
733235394,ATL012(PDL05)_L,,ATL012,Traced,841,596,21,5,711986753
733239382,,,,Traced,44,104,5,18,72598014
733399215,CRE089_R,pMP6a candidates,CRE089,Traced,634,393,2,9,835010108
733575765,,,,Traced,138,419,13,39,398782828
733920949,,,,Traced,214,149,4,11,239346092
734599550,CRE076(PDM08)_L,,CRE076,Traced,1844,1309,56,1,1388838528
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,12,9,1598047565
736174181,CRE006_R,,CRE006,Traced,1166,492,5,11,1201102363
736286550,FB5F_L,SMPCREFB5_2,FB5F,Traced,1400,516,29,1,629338023
736589242,,,,Traced,497,3,56,1,225983875
736632557,CRE092(PDM13)_L,pMP6a candidates,CRE092,Traced,611,277,20,4,652624377
737486877,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,740,247,27,23,523281706
759468647,ATL039(PDM33)_L,,ATL039,Traced,704,333,17,3,548194729
760094565,PFL2(PB12b)_L1_C5,PB1-4FB1245LAL,PFL2,Traced,2507,428,57,196,1535167929
760703506,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,502,221,23,31,498746956
761040902,CRE002_R,aSP14a candidates,CRE002,Traced,756,385,56,136,625180672
761182853,ATL033(PDM32)_L,,ATL033,Traced,1198,524,238,27,1171369475
761537199,SMP489(PDM16)_L,,SMP489,Traced,562,282,8,1,788880817
762037782,SMP254(PDL18)_L,,SMP254,Traced,1425,1112,118,9,1500864915
762560374,,,,Traced,190,24,54,6,52214722
763752608,,,,Traced,139,176,9,19,152692511
763915484,,,,Traced,50,82,5,11,103062691
764956348,,,,Traced,121,17,5,1,32398782
765638558,,,,Traced,27,83,4,17,57116532
766281447,,,,Traced,231,27,51,5,103528380
766303415,,,,Traced,164,10,37,5,78127459
766653726,CRE095(PDM13)_L,pMP6a candidates,CRE095,Traced,820,282,148,31,619210929
767174553,CRE058_R,,CRE058,Traced,286,141,3,12,356082675
767187563,CRE069(AVM17)_L,,CRE069,Traced,355,427,5,3,558262174
767313008,CRE097(PDM13)_L,,CRE097,Traced,611,166,38,3,476175958
767313151,FB5X_L,SMPCREFB5_8,FB5X,Traced,1504,465,122,9,599339916
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,4,2,2704741582
767486231,CRE093(PDM13)_L,pMP6a candidates; SmCL-Si(b),CRE093,Traced,688,185,192,19,551339736
768000153,,,,Traced,325,48,7,4,83072024
768677562,,,,Traced,2537,714,203,19,1232037610
769263962,AVLP477_R,,AVLP477,Traced,3877,898,2,12,3183304555
769268002,CRE034_R,,CRE034,Traced,787,176,36,4,543284171
769355285,CRE085(PDM13)_L,,CRE085,Traced,489,321,55,14,653997083
769605178,CRE047_R,,CRE047,Traced,1053,114,70,22,469273291
770257411,CRE037_L,,CRE037,Traced,596,161,16,12,530744513
770930321,CRE037_L,,CRE037,Traced,558,150,13,14,539301387
770952011,CRE038_L,,CRE038,Traced,507,143,20,14,557020698
786989471,PFR_b(PB11b)_R4_C5,PFR_b,PFR_b,Traced,1833,200,2,2,690237195
790025201,WED124_R,,WED124,Traced,715,131,22,42,745224385
791017605,CL340_R,,CL340,Traced,615,210,4,1,1072063497
792231395,,,,Traced,134,406,2,19,322401911
792800570,CL006_R,,CL006,Traced,257,165,42,87,397959432
793439006,(ADL08)_L,,,Traced,245,224,47,49,191028812
793590678,,,,Traced,484,135,18,7,195070268
793595621,,,,Traced,447,107,88,13,174286235
794277305,SMP371(PDM08)_L,,SMP371,Traced,827,443,32,38,805107479
794462286,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,584,285,11,8,559849976
794963206,,,,Traced,37,159,3,8,166231138
794967711,CRE091(PDM13)_L,pMP6a candidates,CRE091,Traced,409,303,22,11,598192306
795982617,CRE093(PDM13)_L,pMP6a candidates; SmCL-Si(b),CRE093,Traced,1084,333,216,24,661013954
796146244,,,,Traced,201,230,9,16,197699992
796672907,,,,Traced,195,9,10,1,102212444
796889169,(PDM13)_L,,,Traced,310,266,70,2,539153649
796978752,LAL040(ADM03)_L,VeLC-LVe(c),LAL040,Traced,3804,1299,2304,126,2338124058
797346466,,,,Traced,360,140,72,98,186253040
797981213,CRE043_c(ADM10)_L,,CRE043_c,Traced,837,195,66,17,352118377
797989902,FB5A_L,LALCREFB5,FB5A,Traced,4461,1098,426,2,1941985758
798002859,FB5E_L,CRESMPFB5_2,FB5E,Traced,2195,611,46,4,709706874
798322393,(PVL05)_L,,,Traced,239,344,1,1,369185628
798684461,CRE043_d(ADM10)_L,,CRE043_d,Traced,883,187,16,5,481861966
798849134,CRE095(PDM13)_L,pMP6a candidates,CRE095,Traced,541,205,38,10,516286344
798892246,CRE058_R,,CRE058,Traced,338,167,6,8,404837069
799279899,LAL154(PVM03)_L,,LAL154,Traced,1229,794,25,1,1511191160
799868224,AOTU019_R,AoSiLVe-LVeSpIp(c),AOTU019,Traced,16870,541,66,280,8144664705
800212579,SMP148_R,,SMP148,Traced,5367,438,333,402,1733121170
800303089,PPL108_R,,PPL108,Traced,5875,2272,634,524,2618373937
800373114,AVLP477(PDM12)_L,,AVLP477,Traced,323,845,3,15,1534568346
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,3,135248805
819725372,CL199_R,,CL199,Traced,3265,863,6,26,2739280146
820800405,(PDM14)_L,,,Traced,496,95,270,49,822647418
821552280,ATL029(PDM13)_L,CL-AtIb(b)3,ATL029,Traced,1155,427,447,71,873144713
822911647,IB020(PDM09)_L,LSm-IB,IB020,Traced,634,449,100,23,776709382
825644302,,,,Traced,260,10,77,2,111499708
826334890,,,,Traced,377,338,9,5,271957914
826339768,,,,Traced,263,61,17,3,90272910
826511647,,,,Traced,111,137,10,16,145164742
826857417,(ADL08)_L,,,Traced,241,261,34,40,207268472
826957102,CRE028_R,,CRE028,Traced,746,214,94,68,748610617
826969429,CRE045(ADM10)_L,,CRE045,Traced,389,133,15,12,324531965
827422560,PLP187_R,,PLP187,Traced,635,203,2,1,601736428
829033562,,,,Traced,259,43,13,4,81195638
829050526,CRE080(PDM13)_L,pMP6b candidates,CRE080,Traced,512,113,29,4,656343401
829059301,CRE080(PDM13)_L,pMP6b candidates,CRE080,Traced,582,199,4,1,697448888
829693574,SMP273(PDL21)_L,,SMP273,Traced,1289,901,78,4,1300546786
829697614,CRE043_a(ADM10)_L,,CRE043_a,Traced,789,168,52,19,531820622
829706709,,,,Traced,152,21,7,1,67280196
829939688,CRE058_R,,CRE058,Traced,447,171,5,14,468137590
830419511,,,,Traced,263,177,2,22,257876494
831295271,,,,Traced,217,219,9,8,211982182
832107249,(PDM13)_L,,,Traced,609,311,47,1,745470411
832789228,,,,Traced,592,136,399,129,293550875
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,59,193,1049700272
852236918,ATL034(PDM32)_L,,ATL034,Traced,916,539,151,24,1285653439
853963624,,,,Traced,243,784,9,21,538142455
857210366,(ADL08)_L,,,Traced,125,221,39,71,177317713
858051966,,,,Traced,24,96,3,14,74255849
858061181,,,,Traced,94,120,8,8,82100040
858232878,,,,Traced,108,111,8,12,128643427
858233599,,,,Traced,82,88,1,3,128531041
858907062,,,,Traced,351,447,4,1,358910387
858928511,(ADL08)_L,,,Traced,130,292,9,29,230446095
859062721,,,,Traced,274,10,49,3,181053198
859075520,,,,Traced,581,84,15,1,92759146
859735285,CRE105(PVL06)_L,,CRE105,Traced,1589,470,24,3,710680979
860892243,AOTU002_a_R,,AOTU002_a,Traced,494,63,33,63,469200054
860905704,AOTU002_a_R,,AOTU002_a,Traced,596,109,54,96,548602560
861073717,CRE012(ADM05)_L,,CRE012,Traced,3864,1148,662,63,1872147154
861237607,AOTU002_b_R,,AOTU002_b,Traced,620,123,56,108,477723415
861251506,AOTU042(AVM16)_L,aDT10 candidates; SiLVe-Ao(c),AOTU042,Traced,2507,1486,1223,151,2436780567
861251942,LAL130(PDM13)_L,pMP17 candidates,LAL130,Traced,662,454,321,12,1172007844
861410430,,,,Traced,236,279,57,65,293862285
861574580,AOTU001_R,,AOTU001,Traced,710,135,80,124,513720169
861924744,AOTU002_b_R,,AOTU002_b,Traced,592,149,64,129,561262055
862270029,AOTU002_b_R,,AOTU002_b,Traced,357,103,29,83,377228366
862270098,AOTU002_b_R,,AOTU002_b,Traced,600,138,37,101,475103860
862597411,AOTU001_R,,AOTU001,Traced,498,125,62,115,459493749
862787861,CRE037_R,,CRE037,Traced,247,130,3,4,379708980
862792304,(PDM13)_L,,,Traced,536,106,18,11,766883149
863331646,AOTU003_R,,AOTU003,Traced,610,227,9,32,530325498
863698974,LAL155(PVM03)_L,,LAL155,Traced,1494,548,326,36,1064408131
863815503,CRE085(PDM13)_L,,CRE085,Traced,338,222,65,23,486285278
864156049,CRE047(ADM10)_L,,CRE047,Traced,660,119,183,32,393708474
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,43,200,1069803729
882144985,IB005_R,,IB005,Traced,2133,702,246,154,1521696579
882235460,ATL026(PDM13)_L,,ATL026,Traced,1537,600,320,3,1258028663
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,67,186,1151779323
882580620,CL199(PDM12)_L,,CL199,Traced,724,858,9,40,1896030360
883790186,AOTU038_R,,AOTU038,Traced,225,49,23,43,363571338
883803361,CL340_R,,CL340,Traced,649,197,3,4,1043185757
884157443,IB070_R,,IB070,Traced,485,148,153,134,602237953
884477487,PLP208_R,,PLP208,Traced,5947,559,16,22,2600177985
884498779,CL328_R,,CL328,Traced,322,140,123,134,556837765
885495731,CL005_R,,CL005,Traced,323,156,38,54,432326168
887713781,,,,Traced,291,35,10,2,99922511
888413229,,,,Traced,104,30,7,1,99017103
888577071,,,,Traced,136,269,12,24,230594526
888740965,,,,Traced,102,4,83,4,77036118
889765653,,,,Traced,326,57,43,9,84447801
890446875,,,,Traced,16,57,3,10,47381322
890619489,,,,Traced,171,241,18,21,197795265
891111303,CRE096(PDM13)_L,,CRE096,Traced,654,162,8,1,566828528
891771553,CRE100(PDM27)_L,CL-VeSp,CRE100,Traced,2897,96,795,10,1561570718
892614148,AOTU001_R,,AOTU001,Traced,551,198,81,159,521641607
893754136,(MBDLaxon2),,,Traced,2509,1179,390,178,3754329882
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,59,76,2722993954
894168625,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1693,686,19,2,732988105
894362173,LAL004_R,,LAL004,Traced,469,208,49,98,469303915
894500674,,,,Traced,61,273,11,56,265222820
894707517,AOTU004_R,,AOTU004,Traced,394,142,95,85,320253988
895191674,,,,Traced,473,153,366,146,277405605
895441451,MBON26(B'2d)_R,,MBON26,Traced,11560,1283,45,60,2786939491
910447181,PFL3(PB12c)_R5_C3,PB1-7FB1245LAL,PFL3,Traced,3671,15,5,4,723546053
910787992,PFL1(PB12a)_R5_C4,PFLC,PFL1,Traced,1194,63,9,42,868477066
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,915,208,2272675577
913262104,IB005(ADM03)_L,,IB005,Traced,1471,663,208,217,1110181889
913681721,LHPV3a1_R,,LHPV3a1,Traced,1309,209,6,3,457986323
913810960,IB073_R,,IB073,Traced,425,123,234,123,429101158
915105102,LAL183(PVM05)_L,,LAL183,Traced,593,839,34,14,1810412057
915503330,PLP032_R,,PLP032,Traced,1443,1260,9,28,3007064555
915519608,LAL006_R,,LAL006,Traced,299,148,42,85,410875506
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,59,200,1366489368
917553030,AVLP567_R,pC2ld candidates,AVLP567,Traced,1277,443,1,3,1358776503
917643796,OA-ASM2(ADM02)_L,,OA-ASM2,Traced,944,928,3,4,1384441420
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,3,1,4148353890
920738998,,,,Traced,430,45,66,7,162270703
920808836,,,,Traced,349,77,139,20,126361640
921132358,,,,Traced,238,30,67,7,98092276
921684387,,,,Traced,80,96,5,3,133292428
922810839,SMP152(ADM11)_L,,SMP152,Traced,507,669,23,19,604703882
923989857,AOTU003_R,,AOTU003,Traced,433,151,21,71,432072992
924879750,,,,Traced,649,90,185,51,200412131
925241334,LAL155_R,,LAL155,Traced,3211,604,29,38,1395981955
925811326,,,,Traced,838,1189,153,163,1225284890
947233211,CL005_R,,CL005,Traced,274,194,28,53,474112030
947582284,CL308_R,,CL308,Traced,3091,666,67,138,1835937992
947685653,FC2C(FQ7)_C7_R,FB1d367CRE,FC2C,Traced,1414,140,6,8,379542248
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,36,147,1090467478
949930583,AOTU040_R,,AOTU040,Traced,159,51,37,50,248826212
951165633,,,,Traced,292,71,44,4,150260210
951502811,,,,Traced,295,84,154,31,148333496
951842874,,,,Traced,203,24,39,4,72399841
952166828,FB5K_L,CREFB5,FB5K,Traced,3583,610,31,5,1132282137
952374245,LAL114_R,,LAL114,Traced,1394,573,38,33,1003906934
952836562,,,,Traced,375,62,4,1,122173744
952857761,,,,Traced,321,46,50,10,64998611
952987284,LAL086_R,AoL-L(c),LAL086,Traced,574,117,87,115,507840103
953319814,AOTU038_R,,AOTU038,Traced,200,59,28,48,326653734
955733080,AOTU004_R,,AOTU004,Traced,430,165,76,91,296213575
955888209,,,,Traced,346,279,57,45,275963522
957283070,(PVL05)_L,,,Traced,112,137,16,27,129512900
957287330,,,,Traced,404,69,235,53,214699161
958197533,LAL042_R,,LAL042,Traced,1365,214,45,32,799512116
975197713,LAL192_R,,LAL192,Traced,843,568,43,113,786663687
975378930,mPN_L,,,Traced,9,16,1,1,445572806
976221301,CL321_R,,CL321,Traced,1681,223,17,23,1482393731
977295669,IB071_R,,IB071,Traced,631,143,122,118,601416069
979666456,LAL006_R,,LAL006,Traced,282,107,13,36,341160091
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,53,152,1104413493
981306568,AOTU039_R,,AOTU039,Traced,217,58,30,55,330658642
