id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,BU(L) #post,BU(L) #pre,#voxels
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,1,,3,7,1375874653
1105955480,FB6A_L,SMPSIPFB6_1,FB6A,Traced,3645,2209,3243,2046,19,7,3018310913
1128092885,PFL1(PB12a)_L1_C8_irreg,PFLC,PFL1,Traced,1313,20,798,16,,1,960402109
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,2441,620,6,2,1390563331
1135518161,vDeltaA_b_C0,FB1D0FB8,vDeltaA_b,Traced,182,83,162,78,4,3,177730173
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,1,1,46,81,1198248632
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1,1,73,117,1472264855
1198667367,ER2_c(ring)_L,,ER2_c,Traced,1497,512,1,,103,2,724395978
1198671672,ER2_c(ring)_L,,ER2_c,Traced,1470,471,17,1,92,2,671245779
1198749960,PFGs(PB10)_L1_C9_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2064,406,1754,349,96,30,961787424
1199383847,FC3(FQ8)_C9_L,FB2356CRE; Tdc2-PB1/2 candidates,FC3,Traced,467,143,459,135,3,2,256856618
1199383911,FS2(FQ10)_C9_L,FB36SMP,FS2,Traced,557,105,504,31,,1,246161466
1225951007,hDeltaK_07_C6b,EBFB34D5FB6,hDeltaK,Traced,772,237,656,215,43,17,591343919
1254947903,FB1F_L,SMPSIPFB1d,FB1F,Traced,891,294,500,284,5,1,462757721
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,7,3,3,2,1412316280
1259424853,vDeltaE_C9,FB123D0FB6v,vDeltaE,Traced,730,116,725,113,5,3,250819951
1260422110,ER2_b(ring)_L,,ER2_b,Traced,1127,365,1,,48,2,509412854
1260482284,TuBu_L,,,Traced,55,49,7,12,48,37,27286169
1261130127,FS2(FQ10)_C9_L,FB36SMP,FS2,Traced,634,107,578,26,9,1,241830160
1261130146,FC3(FQ8)_C9_L,FB2356CRE; Tdc2-PB1/2 candidates,FC3,Traced,569,162,556,156,3,4,191060528
1261432076,ER3d_b(ring)_L,,ER3d_b,Traced,1092,294,1,,99,1,395209851
1291517755,,,,Orphan,10,1,1,,9,1,2292613
1310831405,vDeltaA_a(AB)_C0,AF,vDeltaA_a,Traced,361,95,162,67,6,3,182768483
1321745141,vDeltaE_C0,FB123D0FB6v,vDeltaE,Traced,965,145,946,135,15,9,292146165
1322470509,ER3p_a(ring)_L,,ER3p_a,Traced,888,311,3,,52,2,483419657
1322522242,PFR_a(PB11a)_L1_C9_irreg,,PFR_a,Traced,1321,421,1276,413,8,2,428674792
1322811128,ER3p_b(ring)_L,,ER3p_b,Traced,1031,348,2,,122,5,432036907
1374731590,FS4A(FQ12)_C9_L,FB138SMP,FS4A,Traced,173,54,150,10,1,2,113504191
1384618560,,,,Orphan,73,13,63,12,10,1,10233326
1385291703,vDeltaA_b_C9,FB1D0FB8,vDeltaA_b,Traced,275,58,270,57,2,1,158923129
1475318548,vDeltaA_a(AB)_C8,AF,vDeltaA_a,Traced,340,69,217,56,2,1,153672077
1534616031,vDeltaA_a(AB)_C9,AF,vDeltaA_a,Traced,355,61,245,54,2,1,133282345
1534616068,vDeltaA_a(AB)_C9,AF,vDeltaA_a,Traced,304,63,206,49,9,4,124459212
1536986534,SA3_bilateral_L,SlpA,SA3,Traced,187,87,35,22,,1,149894846
1539758131,vDeltaA_b(AB)_C0,AF,vDeltaA_b,Traced,234,65,209,61,3,4,163709347
1570111396,FC2B(FQ7)_C9_L,FB1d356CRE,FC2B,Traced,1118,147,1070,103,4,1,291314908
5812979686,ER3d_b(ring)_L,,ER3d_b,Traced,1090,304,1,,70,4,405691680
5812983636,FB5C_L,SMPCREFB5_1,FB5C,Traced,2525,587,1823,435,,1,671097858
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,3,,,8,1478126146
5813022949,FB5L_L,CRESMPFB5_4,FB5L,Traced,2537,769,1950,725,9,1,1173703683
5813047616,FB5I_L,SMPCREFB5_3,FB5I,Traced,3894,1248,2989,1222,,1,1687433748
5813049824,FB6E_R,SIPSMPFB6_2,FB6E,Traced,2796,1326,2026,1310,2,1,2124316709
5813058338,FB8D_L,SLPSMPFB8_2,FB8D,Traced,778,144,517,129,3,2,258125378
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,622,485,25,31,1931391198
5813061177,FB6A_L,SMPSIPFB6_1,FB6A,Traced,5272,1876,4412,1681,24,5,3071974108
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,3071,1745,5,2,3486100136
5813061495,FB6A_R,SMPSIPFB6_1,FB6A,Traced,6929,1983,5137,1776,18,8,4158417564
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,191,40,149,197,1770276774
