id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,#voxels
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,106,8,1125394909
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,109,3,1166760517
1167563121,ER2_a(ring)_R,,ER2_a,Traced,1385,446,92,1,943354421
1167563540,TuBu10_SBU_R,,TuBu10,Traced,346,72,47,66,273421232
1167567702,ER2_d(ring)_R,,ER2_d,Traced,1254,373,141,2,876571829
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,115,9,1211989816
1167645442,ER4m(ring)_R,,ER4m,Traced,1675,915,170,2,1876942269
1167645658,ER2_c(ring)_R,,ER2_c,Traced,1575,512,152,1,1028415501
1167891559,ER4d(ring)_R,,ER4d,Traced,2129,613,127,11,1292065740
1167895489,ER2_c(ring)_R,,ER2_c,Traced,1557,484,116,2,1108231944
1167896065,ER2_c(ring)_R,,ER2_c,Traced,1449,480,105,1,1142260345
1167904437,ER2_c(ring)_R,,ER2_c,Traced,1568,464,106,3,1009871327
1168241257,ER2_c(ring)_R,,ER2_c,Traced,1489,440,117,2,984757343
1168249921,ER2_d(ring)_R,,ER2_d,Traced,1281,372,101,2,857061165
1168923315,ER2_b(ring)_R,,ER2_b,Traced,1238,383,88,5,841422242
1169576040,TuBu02_IBU_R,,TuBu02,Traced,142,94,15,84,214404313
1169898618,TuBu01_ABU_R,,TuBu01,Traced,367,140,60,121,339752853
1170857299,TuBu08_SBU_R,,TuBu08,Traced,488,87,45,86,274398179
1170865953,TuBu06_SBU_R,,TuBu06,Traced,675,80,22,79,340389186
1171207096,TuBu08_SBU_R,,TuBu08,Traced,441,76,51,73,254632867
1171613107,TuBu10_SBU_R,,TuBu10,Traced,252,67,56,66,247224631
1171613286,TuBu09_SBU_R,,TuBu09,Traced,243,58,52,57,189666975
1171902272,TuBu09_SBU_R,,TuBu09,Traced,216,57,42,57,190225697
1171910380,TuBu03_IBU_R,,TuBu03,Traced,281,86,28,85,243158024
1171954356,TuBu09_SBU_R,,TuBu09,Traced,285,52,53,52,204541232
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,1,3,3658564958
1198257581,ER2_a(ring)_R,,ER2_a,Traced,1326,440,128,3,986089181
1198326456,ER4m(ring)_R,,ER4m,Traced,1691,915,158,5,1682972323
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,95,198,1472264855
1198693217,ER4d(ring)_R,,ER4d,Traced,1926,558,116,6,1138756041
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,127,9,1174302319
1198943369,ER2_d(ring)_R,,ER2_d,Traced,1277,419,69,2,861525206
1199289203,ER3w_a(ring)_R,,ER3w_a,Traced,1036,309,100,2,737141935
1199293041,,,,Assign,1,2,1,2,267612
1199625952,ER3w_b(ring)_R,,ER3w_b,Traced,1042,308,117,4,688664664
1200273581,TuBu05_SBU_R,,TuBu05,Traced,299,60,8,59,240674898
1200290859,TuBu09_SBU_R,,TuBu09,Traced,266,53,48,51,203498578
1200605580,TuBu05_SBU_R,,TuBu05,Traced,270,53,18,47,248182042
1200610109,TuBu03_IBU_R,,TuBu03,Traced,229,92,17,91,251607251
1200942353,TuBu02_IBU_R,,TuBu02,Traced,260,130,33,130,338102051
1201615899,TuBu06_SBU_R,,TuBu06,Traced,705,107,22,102,466605778
1201624330,TuBu08_SBU_R,,TuBu08,Traced,337,75,51,72,240641474
1201961255,TuBu10_SBU_R,,TuBu10,Traced,269,66,58,62,216152597
1202241942,TuBu08_SBU_R,,TuBu08,Traced,421,70,52,69,231384843
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,7,1,1746881001
1229288307,ER3p_a(ring)_R,,ER3p_a,Traced,789,313,60,3,684820968
1229369776,ER2_b(ring)_R,,ER2_b,Traced,1110,341,104,4,753897910
1229633648,TuBu09_SBU_R,,TuBu09,Traced,195,54,54,49,170200709
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,118,16,1246980226
1230319275,ER3w_a(ring)_R,,ER3w_a,Traced,1009,302,126,4,733980587
1230324385,ER3w_b(ring)_R,,ER3w_b,Traced,823,282,82,4,714357173
1230328461,,,,Assign,1,2,1,2,19587
1230712894,ER5(ring)_R,,ER5,Traced,866,521,69,7,1055844544
1230712956,ER5(ring)_R,,ER5,Traced,954,528,88,5,1212416596
1230738237,ER5(ring)_R,,ER5,Traced,875,528,94,6,1131747253
1230738247,ER5(ring)_R,,ER5,Traced,998,592,90,8,1212148019
1230742517,ER5(ring)_R,,ER5,Traced,1058,556,97,1,1146386786
1230742552,ER5(ring)_R,,ER5,Traced,937,566,74,3,1191713719
1231066662,ER5(ring)_R,,ER5,Traced,961,610,73,5,1170428657
1231066732,ER5(ring)_R,,ER5,Traced,907,542,88,3,1147679231
1232979445,TuBu10_SBU_R,,TuBu10,Traced,256,75,52,73,227339709
1232983358,TuBu08_SBU_R,,TuBu08,Traced,211,66,56,64,194355244
1233281209,TuBu08_SBU_R,,TuBu08,Traced,388,71,38,70,223761735
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,1,22,1412316280
1260327246,ER3p_b(ring)_R,,ER3p_b,Traced,926,308,91,8,609806834
1260400286,ER3w_a(ring)_R,,ER3w_a,Traced,1027,300,127,4,778456809
1260754053,ER3w_a(ring)_R,,ER3w_a,Traced,1010,312,91,1,805523804
1261000309,ER4d(ring)_R,,ER4d,Traced,2133,571,109,11,1276005185
1261086734,ER3d_a(ring)_R,,ER3d_a,Traced,1344,357,127,2,721497443
