id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,gL(R) #post,gL(R) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,1,,15,6,1973521252
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,1,2,15468,213,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,1,,1336,329,6483095365
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,3,2,73,84,1964048244
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,14,1,100,2,2023774583
