id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,FB #post,FB #pre,#voxels
943920985,hDeltaK_08_C7a,EBFB34D5FB6,hDeltaK,Traced,880,268,31,,837,266,781811089
946300031,hDeltaK_14_C12a,EBFB34D5FB6,hDeltaK,Traced,733,273,12,,721,272,647624537
946641153,hDeltaC_14_C12,FB26D7FB6,hDeltaC,Traced,1192,284,4,,1185,284,665779390
947663945,FB6O_L,SIPSMPFB6_4,FB6O,Traced,1874,479,1,,1797,473,773336342
948346519,FB8H_L,SMPSLPFB8,FB8H,Traced,857,358,2,,481,350,632747528
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,6369,1328,612,82,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,6309,1261,841,83,3339909507
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,266,146,7,1,785035775
976997968,PFR_a(PB11a)_R5_C5,PFR_a,PFR_a,Traced,1223,357,25,,1108,347,438963855
977335118,FS2(FQ10)_C5_L,FB36SMP,FS2,Traced,446,75,3,,417,21,216437751
977663849,hDeltaK_14_C12b,EBFB34D5FB6,hDeltaK,Traced,926,275,49,,875,275,713048262
977667682,hDeltaK_14_C12b,EBFB34D5FB6,hDeltaK,Traced,802,238,48,,748,235,625722553
978387957,hDeltaK_02_C2,EBFB34D5FB6,hDeltaK,Traced,918,264,54,,860,264,731842088
978686129,FS3(FQ10)_C3_L,FB1d367SMP,FS3,Traced,865,83,23,,793,29,225146576
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,1757,457,654,551,1935836510
987877232,FB4K_L,CRESMPFB4_3,FB4K,Traced,2078,415,1,,1052,414,1341902381
1002507159,EPG(PB08)_R7,EPG,EPG,Traced,4220,545,3938,313,38,10,1316105284
1002848661,PEG(PB07)_R7,PEG,PEG,Traced,1004,139,259,133,4,3,574633074
1002852791,EPG(PB08)_R7,EPG,EPG,Traced,4112,504,3834,286,28,4,1209456657
1003249888,hDeltaK_07_C6a,EBFB34D5FB6,hDeltaK,Traced,886,269,72,1,758,247,658035288
1003564889,hDeltaK_05_C5,EBFB34D5FB6,hDeltaK,Traced,1105,283,82,,1015,280,761899684
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,220,111,5,2,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,2733,187,12,2,965411401
1005261469,PFR_b(PB11b)_R3_C6,PFR_b,PFR_b,Traced,2356,222,6,,2073,112,761416202
1005308608,EL(EQ5)_L,EBGAs,EL,Traced,4381,729,4088,648,25,3,1157310567
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,2088,416,9,13,1439854944
1008041969,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1345,416,1,,1222,369,513227795
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,1109,298,2988,1406,2716937442
