id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,gL(R) #post,gL(R) #pre,#voxels
692818786,KCg-m_R,,KCg-m,Traced,694,234,5,2,442,180,343570183
693500431,KCg-m_R,,KCg-m,Traced,820,254,1,1,537,208,373935857
694524222,KCg-m_R,,KCg-m,Traced,664,206,1,1,404,166,354693134
701371011,SMP370_R,,SMP370,Traced,1736,699,1,,8,2,2101402424
704409534,KCab-p_R,,KCab-p,Traced,685,243,204,82,3,1,354049999
704466265,MBON12(y2a'1)_R,,MBON12,Traced,9126,1132,15,,4912,38,1733289825
723849351,KCg-m_R,,KCg-m,Traced,880,242,2,1,534,198,378152693
725200110,KCg-m_R,,KCg-m,Traced,685,237,1,,428,186,350777909
736117977,KCa'b'-m_R,,KCa'b'-m,Traced,635,252,11,4,3,3,435548368
736813212,KCab-s_R,,KCab-s,Traced,582,245,213,106,1,1,315312530
737149820,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,243,1,1,5,4,442032641
755229523,KCg-m_R,,KCg-m,Traced,761,236,8,3,475,189,324795082
755544921,KCg-m_R,,KCg-m,Traced,664,228,5,4,415,186,350850010
756601858,KCg-d_R,,KCg-d,Traced,500,196,3,,287,147,316208133
767852204,KCa'b'-m_R,,KCa'b'-m,Traced,688,240,6,3,12,6,419723448
768184604,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,657,249,9,5,2,2,453806345
768184623,KCa'b'-m_R,,KCa'b'-m,Traced,624,240,1,,,1,396386656
768525608,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,277,2,,11,8,459423549
768525647,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,709,261,1,,5,3,429009272
768555687,MBON10(B'1)_R,,MBON10,Traced,1537,170,4,,25,1,387649695
792368888,MBON20(y1y2)_R,,MBON20,Traced,6136,1988,7,,2624,39,5261473419
799249679,CRE092_R,pMP6a candidates,CRE092,Traced,773,283,3,,2,2,735601613
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,6,2,26087,778,4762453854
799906141,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,618,245,6,1,1,1,406524522
816276925,KCg-m_R,,KCg-m,Traced,818,259,2,,538,222,342972796
861634934,KCa'b'-m_R,,KCa'b'-m,Traced,655,258,1,1,7,3,433333685
861665641,MBON12(y2a'1)_R,,MBON12,Traced,8766,1156,8,1,4121,37,1813984393
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,3,2,3,4,347955774
880055173,KCab-s_R,,KCab-s,Traced,552,203,210,93,2,2,275416876
880383629,KCg-m_R,,KCg-m,Traced,793,241,12,4,453,192,345275323
880404940,KCab-m_R,,KCab-m,Traced,548,215,205,100,2,1,281720585
893347461,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,261,1,,8,5,446443832
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,10,,141,4,2722993954
924723528,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,635,272,3,,8,5,458805864
939733452,KCab-s_R,,KCab-s,Traced,628,218,212,96,1,2,310965787
939733918,KCa'b'-m_R,,KCa'b'-m,Traced,632,240,27,11,,1,426089124
939734266,KCab-m_R,,KCab-m,Traced,546,210,227,94,3,1,255999462
940070913,KCab-m_R,,KCab-m,Traced,521,190,222,91,1,2,274247055
940075056,KCab-p_R,,KCab-p,Traced,726,259,220,82,,1,361940760
940079513,KCab-m_R,,KCab-m,Traced,570,218,195,97,,1,258361359
940420292,KCa'b'-m_R,,KCa'b'-m,Traced,618,245,7,3,9,3,428622683
972128731,KCg-m_R,,KCg-m,Traced,833,252,4,2,514,211,399574677
973151229,KCg-m_R,,KCg-m,Traced,773,232,1,1,471,184,346133896
974843892,KCg-d_R,,KCg-d,Traced,506,180,6,3,269,127,242807372
988852391,PAM08_a(y4)_R,,PAM08_a,Traced,1072,176,2,,757,144,386116617
1003474104,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,556,258,1,1,23,17,389074673
1003837184,KCg-d_R,,KCg-d,Traced,525,213,2,1,310,155,286756016
1017819398,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,256,3,1,9,5,411433282
1034198388,KCab-p_R,,KCab-p,Traced,733,260,201,85,5,1,361965654
1035557785,KCg-m_R,,KCg-m,Traced,854,254,1,1,489,198,391819774
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,11,1,5046,2005,4211579375
1049549402,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,611,275,1,1,25,11,443024347
1064891781,KCab-p_R,,KCab-p,Traced,741,271,262,96,,1,389121740
1108545599,KCab-s_R,,KCab-s,Traced,608,251,193,119,4,3,315709589
1110937445,KCg-m_R,,KCg-m,Traced,948,280,10,5,570,231,423471140
1111278454,KCg-m_R,,KCg-m,Traced,886,259,13,5,505,209,352966055
1111947403,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,560,258,3,2,24,14,444926933
1127604950,KCg-d_R,,KCg-d,Traced,535,205,4,2,324,147,327937313
1138579549,LAL040_R,VeLC-LVe(c),LAL040,Traced,9571,916,1,,8,5,3708849906
1140950118,KCg-m_R,,KCg-m,Traced,761,244,2,1,423,198,335259195
1141268794,KCg-d_R,,KCg-d,Traced,516,207,5,1,271,137,345733573
1141290695,KCg-m_R,,KCg-m,Traced,873,278,5,3,498,230,397582364
1141342299,KCg-m_R,,KCg-m,Traced,794,257,5,4,496,213,402079101
1141346308,KCg-m_R,,KCg-m,Traced,752,202,1,1,436,160,350472783
1141346462,KCg-m_R,,KCg-m,Traced,827,255,1,,501,208,421881825
1141631240,KCg-m_R,,KCg-m,Traced,889,262,3,3,545,210,404400166
1141636055,KCg-m_R,,KCg-m,Traced,750,248,1,,466,195,377928701
1141636389,KCg-m_R,,KCg-m,Traced,773,234,3,1,483,197,352476720
1141972158,KCg-m_R,,KCg-m,Traced,746,224,4,2,468,186,365560546
1141972202,KCg-m_R,,KCg-m,Traced,815,267,5,2,540,209,420915787
1141977014,KCg-m_R,,KCg-m,Traced,824,259,2,,510,216,370941969
1141977071,KCg-m_R,,KCg-m,Traced,741,245,1,,432,188,345264096
1169657925,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,226,1,,16,6,411320098
1169661785,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,254,4,4,6,3,448903191
1169999059,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,531,228,7,2,5,6,420909311
1170335262,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,222,7,5,37,23,393635014
1171280441,KCg-d_R,,KCg-d,Traced,570,204,1,1,321,139,309649081
1171617407,KCg-d_R,,KCg-d,Traced,562,219,1,,327,159,360684260
1171621616,KCg-d_R,,KCg-d,Traced,514,186,6,3,300,128,317127071
1171621682,KCg-d_R,,KCg-d,Traced,642,233,7,2,376,171,370508699
1172044382,KCg-m_R,,KCg-m,Traced,806,273,2,1,517,239,370990928
1172665846,KCg-m_R,,KCg-m,Traced,895,281,3,3,552,221,308381801
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,40,9,4115,979,3658564958
1200619473,CL337_R,,CL337,Traced,1966,45,2,,1,1,1388444977
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,3,5,24,14,404305308
1202737975,KCg-m_R,,KCg-m,Traced,754,271,1,,527,228,371682997
1234386037,MBON07(a1)_R,,MBON07,Traced,15487,512,14426,25,24,2,1466363330
1234809285,KCg-d_R,,KCg-d,Traced,574,253,6,3,350,189,325950292
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,7,3,7,4,446959185
1327831994,KCab-s_R,,KCab-s,Traced,598,274,179,101,,1,322572716
1359212271,KCab-s_R,,KCab-s,Traced,606,251,259,116,1,1,309923679
1359553384,KCab-s_R,,KCab-s,Traced,599,259,204,108,5,4,330140818
1388585088,KCab-p_R,,KCab-p,Traced,635,220,192,76,2,1,352744706
1390942076,KCab-s_R,,KCab-s,Traced,622,243,189,100,,1,349860306
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,83,23,77,35,6190229391
1449670372,KCab-s_R,,KCab-s,Traced,640,278,213,128,4,1,361396154
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,45,22,1,1,407157814
5812979069,KCg-m_R,,KCg-m,Traced,718,228,6,4,416,181,358488809
5812979121,KCg-t_R,,KCg-t,Traced,614,226,3,2,324,151,325810486
5812979196,KCg-d_R,,KCg-d,Traced,507,220,2,1,299,163,307301397
5812979314,KCg-d_R,,KCg-d,Traced,504,175,7,2,284,116,317334419
5812979326,KCg-m_R,,KCg-m,Traced,827,243,1,,535,196,414682167
5812980378,KCab-s_R,,KCab-s,Traced,575,246,219,113,1,2,300916896
5812980425,KCab-s_R,,KCab-s,Traced,601,213,222,96,4,2,254520884
5812980537,KCg-m_R,,KCg-m,Traced,728,212,1,,462,172,375620086
5812980931,KCab-s_R,,KCab-s,Traced,673,279,242,102,1,2,312733936
5812981160,KCg-m_R,,KCg-m,Traced,911,269,12,7,546,218,407533415
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,8,4,15,8,447193387
5812981277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,239,1,2,4,5,474294817
5812981290,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,580,240,1,1,5,4,451840346
5812981320,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,629,272,3,1,4,2,446321131
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,2,3,17,12,446538834
5812981341,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,647,231,3,,23,12,457579684
5812981348,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,618,233,1,,17,11,441656257
5812981400,KCa'b'-m_R,,KCa'b'-m,Traced,705,247,12,8,1,1,455420889
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,5,7,5,3,453767469
5812981564,KCa'b'-m_R,,KCa'b'-m,Traced,642,232,7,3,16,7,391061782
5812981590,KCa'b'-m_R,,KCa'b'-m,Traced,622,196,6,7,6,1,404873540
5812981616,KCg-m_R,,KCg-m,Traced,852,242,2,1,514,191,405786535
5812981689,KCa'b'-m_R,,KCa'b'-m,Traced,744,219,6,2,3,6,328939713
5812981717,KCg-m_R,,KCg-m,Traced,808,263,3,,426,193,411349848
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,12,4,13,6,331043517
5812981961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,239,1,1,3,1,464186591
5812982000,KCg-m_R,,KCg-m,Traced,687,223,1,1,419,175,400998702
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,1,,11,10,425938168
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,7,4,10,7,414845645
5812982088,KCa'b'-m_R,,KCa'b'-m,Traced,684,234,6,3,8,3,399100731
5812982177,KCab-m_R,,KCab-m,Traced,522,197,219,100,,1,290149224
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,25,9,7,5,365482537
5812982350,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,555,210,1,,25,17,408201604
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,21,9,,3,419710605
5812982471,KCab-s_R,,KCab-s,Traced,551,239,198,108,,1,325179743
5812982514,KCab-s_R,,KCab-s,Traced,589,237,224,117,3,1,363758686
5812982620,KCg-m_R,,KCg-m,Traced,757,257,2,4,469,211,398451875
5812982694,KCa'b'-m_R,,KCa'b'-m,Traced,684,207,2,1,4,4,430418695
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,7,4,8,4,418473741
5812982780,KCab-p_R,,KCab-p,Traced,700,235,192,78,3,1,384605451
5812982999,KCg-m_R,,KCg-m,Traced,847,245,9,5,487,192,381722085
5812983012,KCab-s_R,,KCab-s,Traced,609,228,213,93,6,3,329761289
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,21,3,8,4,386511183
5812983213,KCab-s_R,,KCab-s,Traced,621,216,211,85,1,1,325890550
5812983451,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,262,4,1,10,4,436809854
5812983571,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,579,248,4,1,23,11,294590390
5812983645,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,257,7,2,9,8,449532868
5812983646,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,595,256,2,,15,12,453811862
5812983657,KCg-m_R,,KCg-m,Traced,749,245,2,,459,203,337810528
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,2,,6,1,415440030
5813020041,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,613,209,2,1,26,10,434014408
5813020089,KCg-m_R,,KCg-m,Traced,824,242,2,3,501,191,271636349
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,14,10,4,3,441153613
5813021736,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,605,219,3,,12,2,454869357
5813021805,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,267,2,1,7,7,478993126
5813021808,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,591,274,5,2,14,5,455112693
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,2,1,17,9,467946092
5813021856,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,668,254,1,1,9,8,485815034
5813022037,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,655,236,1,1,17,7,431474709
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,2,10282,170,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,20,4,5741,2062,5444071374
5813032811,KCa'b'-m_R,,KCa'b'-m,Traced,616,210,13,6,5,3,388570181
5813032876,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,232,1,1,8,5,519684879
5813032943,KCab-p_R,,KCab-p,Traced,734,252,207,82,3,6,339903729
5813032967,KCg-m_R,,KCg-m,Traced,717,225,1,1,459,189,378642089
5813035613,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,252,1,,25,15,463866310
5813040171,KCg-m_R,,KCg-m,Traced,841,246,1,,473,197,396899648
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,20,5,6,4,427955175
5813047662,KCg-m_R,,KCg-m,Traced,764,261,4,3,488,205,364278076
5813047790,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,580,209,1,,10,5,431318660
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,8,4,11,4,452964728
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,20,5,1,1,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,2,2,10,7,436927867
5813056309,KCg-m_R,,KCg-m,Traced,825,283,2,3,523,218,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,5,1,9,1,403944266
5813056414,KCg-m_R,,KCg-m,Traced,673,211,1,1,415,159,349509259
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,4,3,17,6,405376444
5813057956,KCg-m_R,,KCg-m,Traced,772,230,1,1,455,180,356908730
5813060643,KCab-p_R,,KCab-p,Traced,681,264,178,80,2,2,369871738
5813062637,KCg-m_R,,KCg-m,Traced,796,258,2,,460,217,378340500
5813062850,KCab-s_R,,KCab-s,Traced,547,228,225,105,2,1,346545830
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,4,,55,1,3621432113
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,2,3,12,8,436486264
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,3,2,10,5,364741205
5813070672,KCg-m_R,,KCg-m,Traced,719,237,2,1,456,194,398858277
5813077579,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,235,2,1,,1,446715176
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,5,3,11,8,453604666
5813078053,KCab-s_R,,KCab-s,Traced,691,238,258,115,2,2,268635703
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,1,1,8,7,472655195
5813083651,KCg-d_R,,KCg-d,Traced,547,216,2,1,342,142,353327717
5813105172,DPM_R,,DPM,Traced,77269,17628,12898,2694,24376,5774,15191654896
5813109941,PAM07(y4<y1y2)_R,,PAM07,Traced,1075,183,9,,768,139,357750093
5813112511,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,592,268,1,,5,7,434542432
5901213440,CRE011_R,,CRE011,Traced,19674,2149,2,,193,8,5844952800
