id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,BU(L) #post,BU(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,14,13,,1,6917059458
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,1,,112,172,1622607507
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,9,10,5,2,3486100136
