id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,a'L(R) #post,a'L(R) #pre,#voxels
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,248,35,33,31,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,7262,15,42,25,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,5,,36,2,1773011190
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,239,48,14,20,1964048244
767494105,KCab-p_R,,KCab-p,Traced,633,218,57,26,6,2,365582357
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,2,,4979,43,2722993954
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,88,29,,1,6190229391
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,4,1,9,10,3486100136
5813091744,KCab-p_R,,KCab-p,Traced,635,285,44,19,3,1,392247819
