id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,bL(R) #post,bL(R) #pre,#voxels
1110298200,PAM02(B'2a)_R,,PAM02,Traced,1403,217,4,,8,2,326742368
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,1,,1243,291,720192159
1140950118,KCg-m_R,,KCg-m,Traced,761,244,423,198,8,1,335259195
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,4,,1273,219,498035936
1141010036,KCg-m_R,,KCg-m,Traced,737,236,460,198,,1,343129682
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,10,1,695,173,474678964
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,78,12,4,1,324421746
1172372291,KCg-m_R,,KCg-m,Traced,625,196,402,159,,1,338314005
1172713521,KCg-s1(super)_R,,KCg-s1,Traced,2551,826,1669,734,3,7,1054848410
1173745411,KCg-m_R,,KCg-m,Traced,809,252,495,211,1,1,379558460
1175070762,KCg-d_R,,KCg-d,Traced,646,251,429,188,5,3,369691167
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,24,14,,1,404305308
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,1,,1307,236,515766690
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,371,116,8,2,320100027
1203709763,KCa'b'-m_R,,KCa'b'-m,Traced,512,234,11,3,2,1,411264180
1204447548,KCg-m_R,,KCg-m,Traced,723,224,430,184,1,2,392214550
1235150293,KCg-d_R,,KCg-d,Traced,561,208,401,169,1,1,301136200
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,51,18,67,16,225739136
1359212271,KCab-s_R,,KCab-s,Traced,606,251,1,1,155,73,309923679
1359553384,KCab-s_R,,KCab-s,Traced,599,259,5,4,167,91,330140818
1388585088,KCab-p_R,,KCab-p,Traced,635,220,2,1,253,91,352744706
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,77,35,48,28,6190229391
1449670372,KCab-s_R,,KCab-s,Traced,640,278,4,1,199,92,361396154
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,1,1,14,8,407157814
5812980378,KCab-s_R,,KCab-s,Traced,575,246,1,2,187,88,300916896
5812980425,KCab-s_R,,KCab-s,Traced,601,213,4,2,168,77,254520884
5812980811,KCab-s_R,,KCab-s,Traced,540,213,1,,137,71,295334622
5812980931,KCab-s_R,,KCab-s,Traced,673,279,1,2,208,109,312733936
5812981046,KCg-t_R,,KCg-t,Traced,572,187,371,147,,1,357596550
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,2,,3,1,487373247
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,17,12,2,1,446538834
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,1851,299,,2,3349981626
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,5,3,,1,453767469
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,1,,,1,2164861052
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,3,,4,1,478708280
