id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,bL(R) #post,bL(R) #pre,#voxels
363716151,KCab-c_R,,KCab-c,Traced,484,168,193,75,110,46,255962951
363716303,KCab-m_R,,KCab-m,Traced,512,181,201,77,125,53,244395911
363716362,KCab-m_R,,KCab-m,Traced,581,200,208,80,143,67,253471360
363724985,KCab-c_R,,KCab-c,Traced,449,161,153,66,118,54,242231993
363724996,KCab-c_R,,KCab-c,Traced,470,169,145,67,134,47,161446100
363725096,KCab-c_R,,KCab-c,Traced,304,135,146,70,110,40,99242143
363725201,KCab-m_R,,KCab-m,Traced,572,173,222,72,166,60,328272561
363725228,KCab-m_R,,KCab-m,Traced,513,161,183,70,130,40,243989006
363729312,KCab-m_R,,KCab-m,Traced,601,228,197,93,197,82,278707181
363729314,KCab-m_R,,KCab-m,Traced,515,198,220,102,111,50,238766624
363733406,KCab-s_R,,KCab-s,Traced,539,225,194,92,184,94,197608415
364061776,KCab-m_R,,KCab-m,Traced,507,199,213,98,117,59,175728870
364066029,KCab-c_R,,KCab-c,Traced,262,115,120,54,94,36,95599995
364070309,KCab-c_R,,KCab-c,Traced,382,138,157,57,125,44,213780409
364070517,KCab-m_R,,KCab-m,Traced,551,214,218,98,155,67,269037202
364407023,KCab-m_R,,KCab-m,Traced,568,207,233,86,151,72,290733120
364411143,KCab-s_R,,KCab-s,Traced,547,232,205,103,164,75,275488255
393383025,KCab-s_R,,KCab-s,Traced,542,235,208,123,131,62,341937695
393387426,KCab-s_R,,KCab-s,Traced,697,264,277,128,206,93,350848802
393736822,KCab-m_R,,KCab-m,Traced,610,210,196,91,201,90,243629778
394060556,KCab-s_R,,KCab-s,Traced,595,223,227,101,168,84,314965330
394060620,KCab-s_R,,KCab-s,Traced,606,214,208,100,212,85,307349594
394064790,KCab-m_R,,KCab-m,Traced,607,220,221,100,174,69,276687869
394069210,KCab-m_R,,KCab-m,Traced,614,214,243,107,129,57,310063367
394073547,KCab-m_R,,KCab-m,Traced,561,203,233,89,124,60,268939303
394077610,KCab-m_R,,KCab-m,Traced,451,173,202,83,114,42,126880852
394081878,KCab-s_R,,KCab-s,Traced,605,228,257,112,163,68,354685350
394397189,KCab-s_R,,KCab-s,Traced,640,246,226,113,211,83,304912513
394401778,KCab-m_R,,KCab-m,Traced,515,214,194,93,120,65,294077658
394414724,KCab-m_R,,KCab-m,Traced,552,201,202,87,165,69,262376601
394414783,KCab-m_R,,KCab-m,Traced,475,200,222,87,143,69,143122193
394418743,KCab-m_R,,KCab-m,Traced,602,200,234,92,144,51,259049100
394427392,KCab-s_R,,KCab-s,Traced,650,247,221,109,165,85,248847423
394755376,KCab-m_R,,KCab-m,Traced,536,192,204,82,133,52,166871205
