id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,BU(R) #post,BU(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,2,9,6917059458
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,5,1,3,3,5117109108
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,5,,1,2489431605
550068041,CRE013(ADM05)_L,,CRE013,Traced,5254,1158,3,,,4,2008584360
613040803,CRE049_R,,CRE049,Traced,2229,750,6,5,1,1,1511757943
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,21,12,,2,1598047565
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,13,,1,3,3658564958
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,19,7,3,10,6190229391
