id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,PB #post,PB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,2,9,3,3,6917059458
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,1,,265,213,1469716322
851493896,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,3272,336,1,,283,2,981759380
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,8,9,186,6,592330392
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,10,1,1,6190229391
5813041365,PFL1(PB12a)_L4_C5,PFLC,PFL1,Traced,1254,313,1,,769,4,1163111797
