id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,gL(R) #post,gL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3,3,424,316,6917059458
1265399790,,,,Traced,96,162,12,4,2,1,769118726
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,1,77,35,6190229391
