id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,gL(R) #post,gL(R) #pre,#voxels
799249679,CRE092_R,pMP6a candidates,CRE092,Traced,773,283,33,1,2,2,735601613
799279899,LAL154(PVM03)_L,,LAL154,Traced,1229,794,10,3,41,4,1511191160
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,2,,26087,778,4762453854
799868224,AOTU019_R,AoSiLVe-LVeSpIp(c),AOTU019,Traced,16870,541,4522,1,10,1,8144664705
800286386,CRE080_R,pMP6b candidates,CRE080,Traced,1068,217,1,5,190,2,888608503
800303089,PPL108_R,,PPL108,Traced,5875,2272,646,491,23,2,2618373937
816276925,KCg-m_R,,KCg-m,Traced,818,259,2,1,538,222,342972796
819725372,CL199_R,,CL199,Traced,3265,863,18,40,4,1,2739280146
822708945,mALD3_L,,mALD3,Traced,1958,1536,55,9,55,62,1875675718
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,7,,312,89,440919426
893754136,(MBDLaxon2),,,Traced,2509,1179,200,227,13,6,3754329882
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,438,442,141,4,2722993954
915960293,FB6V_R,SMPCREFB6_3,FB6V,Traced,2761,558,1,,,1,1066156982
920873167,PLP161_R,,PLP161,Traced,1346,386,5,3,5,1,1297386320
924049792,,,,Traced,1887,1847,335,307,13,8,1155907178
940070913,KCab-m_R,,KCab-m,Traced,521,190,1,,1,2,274247055
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,795,40,,2,3591373150
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,73,1,257,78,382633721
973151229,KCg-m_R,,KCg-m,Traced,773,232,3,,471,184,346133896
973488234,KCg-m_R,,KCg-m,Traced,770,256,3,2,469,188,349712658
983759126,PAM12(y3)_R,,PAM12,Traced,963,155,66,1,265,59,332844630
984536209,LAL100_R,,LAL100,Traced,3609,1173,1852,281,5,4,2063807718
984799284,CRE060_R,,CRE060,Traced,844,393,298,10,8,1,738647628
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,21,86,46,12,2278694286
985826737,LAL185_R,pIP11 candidates,LAL185,Traced,1411,550,847,138,41,10,1029524227
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,16,,13,5,389938087
988852391,PAM08_a(y4)_R,,PAM08_a,Traced,1072,176,59,,757,144,386116617
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,9,11,6,9,4703423471
1015143077,CRE024_L,,CRE024,Traced,4924,969,339,22,116,1,1768786393
1015484487,,,,Traced,623,710,13,6,1,2,523595977
1016166622,CRE067_R,,CRE067,Traced,1039,396,147,3,219,3,735317516
1016506999,LAL198_R,,LAL198,Traced,2427,780,1858,58,23,1,1609357758
1041666949,,,,Traced,3413,5506,247,343,,1,3533861855
1049247113,LAL160_R,CL-LC(c),LAL160,Traced,2653,450,1178,131,3,1,959950008
1049261193,CRE106_R,,CRE106,Traced,572,459,54,71,3,1,876624366
1051980223,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1815,401,484,8,9,2,724270517
1072063538,DNp27_R,,DNp27,Traced,6792,2658,10,23,,3,16654541697
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,1,1,17278,206,2791162363
1110640084,CRE067_R,,CRE067,Traced,1342,370,311,5,234,5,763267727
1111757266,LAL155(PVM03)_L,,LAL155,Traced,1444,567,50,29,10,1,1054960124
1131840673,FB4R_R,CREFB4,FB4R,Traced,1345,426,33,2,194,4,853725137
1138579549,LAL040_R,VeLC-LVe(c),LAL040,Traced,9571,916,5708,231,8,5,3708849906
1141337557,PAM08_d(y4)_R,,PAM08_d,Traced,1707,334,2,,602,135,427493806
1141337605,PAM08_e(y4)_R,,PAM08_e,Traced,1013,193,27,,550,151,410437147
1141342258,PAM08_a(y4)_R,,PAM08_a,Traced,1115,191,6,,643,148,391835218
1141346308,KCg-m_R,,KCg-m,Traced,752,202,2,1,436,160,350472783
1141674495,KCg-m_R,,KCg-m,Traced,730,245,1,1,457,205,359775940
1141678665,PAM12(y3)_R,,PAM12,Traced,1020,164,41,,540,127,394036608
1141687128,PAM07(y4<y1y2)_R,,PAM07,Traced,1417,168,45,2,1190,140,394678553
1141972202,KCg-m_R,,KCg-m,Traced,815,267,1,2,540,209,420915787
1141977014,KCg-m_R,,KCg-m,Traced,824,259,1,,510,216,370941969
1141977071,KCg-m_R,,KCg-m,Traced,741,245,1,,432,188,345264096
1142365351,PAM08_a(y4)_R,,PAM08_a,Traced,1006,164,24,,508,112,393275875
1142658717,KCg-m_R,,KCg-m,Traced,697,264,1,,461,214,372743702
1161731111,KCg-m_R,,KCg-m,Traced,840,252,1,1,511,208,368368284
1172665846,KCg-m_R,,KCg-m,Traced,895,281,1,,552,221,308381801
1172670463,KCg-m_R,,KCg-m,Traced,674,226,1,1,447,187,344726997
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,62,1,579,126,396639821
1173745330,PAM08_a(y4)_R,,PAM08_a,Traced,990,169,41,,516,130,329507895
1173745411,KCg-m_R,,KCg-m,Traced,809,252,1,,495,211,379558460
1173753977,PAM08_e(y4)_R,,PAM08_e,Traced,833,166,4,,404,119,352319115
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,22,4,294,12,547627159
1200619473,CL337_R,,CL337,Traced,1966,45,1,,1,1,1388444977
1201296549,LAL190_R,pMP19 candidates; SpLC-SpIb(c),LAL190,Traced,3339,646,1444,66,3,1,2077826485
1202677966,,,,Traced,112,224,59,110,,1,300144230
1203433388,KCg-d_R,,KCg-d,Traced,687,237,1,,479,214,365058309
1203774485,KCg-d_R,,KCg-d,Traced,611,212,1,1,445,187,356073557
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,27,3,8,3,366409907
1205090786,PAM12(y3)_R,,PAM12,Traced,771,115,54,,225,45,303136226
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,66,,358,78,308877449
1234386037,MBON07(a1)_R,,MBON07,Traced,15487,512,2,,24,2,1466363330
1265399790,,,,Traced,96,162,13,14,2,1,769118726
1292367728,mALD4_L,,mALD4,Traced,3238,1251,1617,859,5,5,2375755009
1323402830,LAL193_R,VeL-X(c)1,LAL193,Traced,2052,28,1659,14,7,3,1167321058
1326813363,PAM08_a(y4)_R,,PAM08_a,Traced,916,164,6,,549,132,354276543
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,6,11,7,16,5492683352
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,77,35,6190229391
1450016008,AVLP562(PVL15)_L,,AVLP562,Traced,1058,1169,80,68,,1,1538240069
1465630554,LAL161_R,CL-L(c)1,LAL161,Traced,2216,269,1143,138,7,1,911168646
1629383757,Ascending?,,,Traced,5797,1631,1368,62,1,1,3262430111
5812979188,KCg-m_R,,KCg-m,Traced,752,229,3,,463,171,351753540
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,86,42,1851,299,3349981626
5812982125,CRE032_R,,CRE032,Traced,600,223,1,6,14,8,547536751
5812983101,KCg-m_R,,KCg-m,Traced,712,239,1,1,436,188,357805367
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,71,113,9,1,3369272816
5812983846,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,1494,734,16,2,45,4,1050718993
5813019850,CRE048_R,,CRE048,Traced,5674,1107,208,19,483,2,2306300526
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,1,2,11,7,2685199565
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,75,13,10282,170,2864745122
5813022419,CRE038_R,,CRE038,Traced,275,132,6,7,19,3,360831607
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,503,,5741,2062,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,83,70,10458,28,3288021127
5813026661,SMP079_R,,SMP079,Traced,4165,685,12,,7,3,1953462272
5813027592,SMP376_R,C-Sm,SMP376,Traced,6160,927,42,12,143,1,2619111860
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,4,6,1010,471,975624467
5813032847,SMP053_R,,SMP053,Traced,3320,522,6,9,24,2,1419279427
5813033033,CRE031_L,,CRE031,Traced,1260,220,34,14,131,3,766024070
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,2,,37,4,3046434158
5813047662,KCg-m_R,,KCg-m,Traced,764,261,2,,488,205,364278076
5813050455,DNp32_R,,DNp32,Traced,6922,3051,17,20,,1,25280916792
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,537,22,16,1,1798572771
5813057956,KCg-m_R,,KCg-m,Traced,772,230,1,1,455,180,356908730
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,47,2,6392,21,2345461437
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,11,,23,4,3343482793
5813058319,CRE012_R,,CRE012,Traced,4120,938,938,91,17,1,2243348099
5813061114,ATL037_R,,ATL037,Traced,3542,1069,559,22,6,1,2177660654
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,1,7,84,55,3486100136
