id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,gL(R) #post,gL(R) #pre,#voxels
799868224,AOTU019_R,AoSiLVe-LVeSpIp(c),AOTU019,Traced,16870,541,66,280,10,1,8144664705
800303089,PPL108_R,,PPL108,Traced,5875,2272,634,524,23,2,2618373937
819725372,CL199_R,,CL199,Traced,3265,863,6,26,4,1,2739280146
859735285,CRE105(PVL06)_L,,CRE105,Traced,1589,470,24,3,33,5,710680979
893754136,(MBDLaxon2),,,Traced,2509,1179,390,178,13,6,3754329882
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,59,76,141,4,2722993954
984536209,LAL100_R,,LAL100,Traced,3609,1173,58,62,5,4,2063807718
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,45,1,17,2,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,73,85,46,12,2278694286
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,8,,13,6,294789403
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,6,8,6,9,4703423471
1015143077,CRE024_L,,CRE024,Traced,4924,969,5,3,116,1,1768786393
1015484487,,,,Traced,623,710,30,18,1,2,523595977
1016506999,LAL198_R,,LAL198,Traced,2427,780,1,8,23,1,1609357758
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,2,,60,6,2083130629
1019347828,PAM08_a(y4)_L,,PAM08_a,Traced,719,179,17,,110,27,228381303
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,79,2,5046,2005,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,3,,34,8,2226046804
1049247113,LAL160_R,CL-LC(c),LAL160,Traced,2653,450,409,260,3,1,959950008
1081434698,PAM07(y4<y1y2)_L,,PAM07,Traced,736,186,5,,88,30,257320792
1111757266,LAL155(PVM03)_L,,LAL155,Traced,1444,567,526,56,10,1,1054960124
1112125413,PAM07(y4<y1y2)_L,,PAM07,Traced,745,232,29,,54,24,265742623
1138579549,LAL040_R,VeLC-LVe(c),LAL040,Traced,9571,916,223,260,8,5,3708849906
1171772286,PAM08_a(y4)_L,,PAM08_a,Traced,954,198,4,,159,30,266956643
1172441674,PAM12(y3)_L,,PAM12,Traced,982,186,18,,151,36,317578750
1172446050,PAM08_a(y4)_L,,PAM08_a,Traced,1073,208,5,,175,52,257552610
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,6,9,294,12,547627159
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,15,,4115,979,3658564958
1202677966,,,,Traced,112,224,12,13,,1,300144230
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,2,,151,50,296229744
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,23,,198,74,228273943
1266478519,PAM12(y3)_L,,PAM12,Traced,577,117,27,,207,59,216360555
1292367728,mALD4_L,,mALD4,Traced,3238,1251,1,,5,5,2375755009
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,5,,51,18,225739136
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,5,9,7,16,5492683352
1450016008,AVLP562(PVL15)_L,,AVLP562,Traced,1058,1169,52,104,,1,1538240069
1465630554,LAL161_R,CL-L(c)1,LAL161,Traced,2216,269,87,62,7,1,911168646
1629383757,Ascending?,,,Traced,5797,1631,29,25,1,1,3262430111
5812980520,CRE029_c_R,,CRE029_c,Traced,834,333,6,,1,2,771099799
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,17,1,1851,299,3349981626
5812981895,PAM12(y3)_L,,PAM12,Traced,713,146,12,,204,38,211372631
5812982125,CRE032_R,,CRE032,Traced,600,223,1,8,14,8,547536751
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,92,115,9,1,3369272816
5813020424,PAM12(y3)_L,,PAM12,Traced,842,136,32,,204,44,274285169
5813022076,PAM12(y3)_L,,PAM12,Traced,835,213,25,,104,38,283015676
5813022199,CRE029_a_R,,CRE029_a,Traced,1027,313,2,4,9,16,775964720
5813022419,CRE038_R,,CRE038,Traced,275,132,6,6,19,3,360831607
